doc_id,document,summary,document_word_count
38727651,"The 9.2 trillion won ($7.2bn; Â£5.8bn) quarterly profit is the South Korean firm's highest since 2013. In October, the smartphone maker had to scrap the Note 7, after recalling 2.5 million handsets. Batteries were blamed for phones catching fire. Samsung has also been embroiled in a corruption scandal, threatening its reputation, so how has it done so well? Recalling and then ultimately killing off the Note 7, is thought to have cost Samsung $5.3bn (Â£4.3bn), a sum that would have made the firm's profits far bigger. But while it is the world's biggest smartphone maker, phones are not its only business. It is also well known for its flat screen televisions and that side of things is doing well. But the real jewel in the crown has been its semiconductor business which makes the chips for phones and servers. Memory chip prices are rising sharply as demand grows, primarily from phone makers and Samsung is the biggest maker of the chips, ahead of rivals like Toshiba. Despite the YouTube videos of burning phones, the drip-drip of negative stories and the internet memes, Samsung does not seem to have been as tarnished anywhere near as badly as you might expect. A Reuters/IPOS study in the aftermath of the scandal found Samsung users in the US remained as loyal to their brand as Apple users were to their iPhones. Because the problem was identified shortly after the Note 7 was released the recall was mostly limited to early adopters, and this limited the negative experiences, said Jan Dawson of Jackdaw Research. ""Your own personal experience trumps what you read and what people tell you,"" Dawson at the time of the Reuters/Ipsos poll. And Samsung has said that after its recall, most customers chose to replace their Note 7 with a different Samsung handset - including the Galaxy S7 and S7 Edge - rather than getting the money back. Our correspondents in South Korea say that a major corporate scandal - which led to a court being asked to issue an arrest warrant for the firm's heir apparent over bribery allegations - did not seem to have tarnished the corporation's reputation at home dramatically either. However, while the arrest request was turned down, Samsung remains embroiled in the case and the firm has acknowledged the ""changing political landscape in Korea"" could have some longer term impact on the business.","Samsung Electronics saw profits surge 50% in the last three months of 2016, despite the Note 7 phone fiasco.",482
34155586,"Nigel Farage said 300 public meetings had already been planned in ""village halls, working men's clubs and arenas"". Speaking at the launch of UKIP's referendum campaign, he said he would welcome a Jeremy Corbyn victory in the Labour leadership contest. He said the political left was ""waking up to what the EU is"". The in/out referendum on the UK's EU membership will take place by 2017. Mr Farage said he was planning to go ""on tour"" around the country from now until the referendum. He said 12 regional co-ordinators had been appointed and party activists would be doing the ""old-fashioned thing of putting leaflets through doors"". UKIP's campaign will be separate from the two existing groups vying for designation as official leaders of the leave campaign. But Mr Farage said he would ""work with anybody"". ""We will share a platform with anybody. We will do whatever it takes,"" he said. ""We want our country back. We do not want to stay members of the European Union. We recognise that we won't win this referendum unless we get significant numbers from the centre left of politics to vote to leave the EU as well."" Mr Farage said that while he did not agree with Mr Corbyn on ""almost everything"", a win for the veteran left-winger would ensure a ""proper debate about the European Union"". ""I think the left of British politics is waking up to what the EU is,"" he said. ""They have seen Greece trampled upon, they see a transatlantic trade treaty which they are worried could threaten the viability of the NHS."" While there was ""genuine concern"" that Britain was ""shovelling Â£55m a day into a club whose accounts had not been signed off"", he said, immigration was likely to be the dominant issue during the campaign. He also said the immigration debate was currently focused on the migrant crisis in Europe and he accused Germany in particular of giving ""huge incentives for people to come to the European Union by whatever means"". ""The EU has got this wrong. Anybody that comes, from whatever background and virtually for whatever reason, can claim to be a refugee,"" he said. ""If the European Union wants to help genuine refugees, they need to establish offshore centres and process people correctly, rather than inviting what has now turned into a headlong rush."" Meanwhile, Prime Minister David Cameron has announced that the UK will take ""thousands more"" refugees from camps on the borders of war-torn Syria, as well as providing an additional Â£100m in aid for those fleeing the conflict.","UKIP's campaign for Britain to leave the EU will ""get outside the confines of Westminster"" and ""reach real people"", its leader has said.",438
36537015,"This will be ripe territory for both sides because they believe that is where the highest numbers of undecided voters are to be found. Morgan Brobyn, from Vote Leave, said he was looking to take advantage of the split loyalties many feel because of their previous support for remain-supporting Labour. He said: ""It is a combination of failed aspirations which they see around them and because they don't see any tangible benefit to the EU or any difference it's made to their lives. ""The level of structural funding is not enough of an incentive for them to remain."" Lord Hain, who is running the Welsh Labour In campaign, said between a fifth and a third of voters in its heartland areas were undecided. He said: ""People are beginning to get alarmed. We are going to have to fight for a vote that people took for granted. ""There is a big section that is undecided and they will hold the key."" It means that rock-solid Labour areas will become political battlegrounds during the next week, in marked contrast to normal elections where the results are often foregone conclusions. Unlike in a first-past-the-post general election, every vote in a referendum counts as the the entire UK. In effect, becomes one giant constituency. The Valleys feature prominently in the areas that Vote Leave will be focusing on in the final days of the campaign. As well as Merthyr Tydfil and Caerphilly, they include Port Talbot, Cardiff and Newport. In the north, extra resources will be deployed in the constituencies of Clwyd West, Aberconwy and Wrexham. Leave campaigners say their blanket leafleting approach will be replaced by more targeted door-to-door canvassing in the final days. Any undecided voters expressing some degree of sympathy for a Brexit to a Vote Leave campaigner can expect another visit on June 23rd as the campaign focuses on getting its vote out. Senior Vote Leave figures admit some of their data is too narrow but they believe they are ahead in most parts of Wales apart from Anglesey, Gwynedd, Ceredigion, Cardiff and in Newport where they say they are neck-and-neck with remain. They claim to have had up to 500 activists operating in Wales in the past week. The make-up of the teams vary. In the Vale of Glamorgan, around 80% of the local Conservative activists who campaigned for the party in the recent assembly and general elections are out campaigning for leave.",The main battleground in Wales in the final week of the referendum campaign will be the south Wales valleys.,588
37987396,"Dennis, 69, quit after being told by fellow shareholders on Tuesday that he must give up his position as chairman and chief executive of McLaren Group. He did not want to step down and failed in a High Court bid last week to prevent McLaren putting him on'gardening leave'. In a statement, Dennis said he was ""disappointed"" and called the grounds for his removal ""entirely spurious"". He remains on the boards of McLaren Technology Group and McLaren Automotive and retains significant shareholdings in both. Dennis owns 25% of McLaren Group, Bahrain's Mumtalakat investment fund owns 50% and the remaining 25% is held by Dennis' long-time business partner Mansour Ojjeh, a Saudi-born Frenchman. Dennis and Ojjeh, the chief executive of the TAG Group, fell out some years ago and the 64-year-old Ojjeh has sided with the Bahrainis in trying to remove his former friend. It was felt Dennis' autocratic style was ill-fitted to growing McLaren in the future. Dennis said the other main shareholders ""forced through"" the decision ""despite the strong warnings from the rest of the management team about the potential consequences of their actions on the business"". He added: ""My management style is the same as it has always been and is one that has enabled McLaren to become an automotive and technology group that has won 20 Formula 1 World Championships and grown into an £850m-a-year business. ""Ultimately it has become clear to me through this process that neither TAG nor Mumtalakat share my vision for McLaren and its true growth potential. ""My first concern is to the business I have built and to its 3,500 employees. I will continue to use my significant shareholding in both companies and my seats on both boards to protect the interests and value of McLaren and help shape its future. ""I intend to launch a new technology investment fund once my contractual commitments with McLaren expire."" Dennis' departure is seismic move in the context of modern F1, in which he has been a central figure since 1981. Dennis joined McLaren in 1980 and took full control in 1981, after which he led the team to several periods of domination and turned it into the most successful outfit in history after Ferrari. Under Dennis' leadership, McLaren won 10 drivers' titles with Niki Lauda, Alain Prost, Ayrton Senna, Mika Hakkinen and Lewis Hamilton, and seven constructors' championships.",Ron Dennis' 35-year tenure as the boss of McLaren has come to an end.,1100
38680233,"Annette McKenzie wants the law changed to prevent under-18s being prescribed medication without parental consent. She said the current system was ""letting young people down"". She found out her daughter Britney Mazzoncini had been prescribed Propanol by her GP after she died of an overdose of the tablets in July last year. Ms McKenzie has lodged a petition at the Scottish Parliament. Speaking at the Public Petitions Committee, she said her campaign was not a ""witch-hunt"" against the doctor who treated her daughter. ""When this happened with Britney, yes I was devastated, I was broken, but it also let me find a fault in the system where it is letting young people down,"" she said. Britney, from Glasgow, suffered from depression and anxiety and was having suicidal impulses. She was prescribed a month's supply of the drug by her doctor last June. Sixteen days later, she took an overdose. Ms McKenzie said she had been unaware of the prescription and had mistaken side-effects, such as tiredness, as her daughter being lazy. She explained to MSPs: ""My daughter didn't understand at 16 years old the severity and strength of the medication she was given. ""She went to the doctor that day to ask for help. She didn't go expecting to be given pills."" She added: ""I know a lot of people have concerns that my petition in particular will discourage young people from going to seek help from their doctor. ""To say that a child won't go to the doctor to ask for help, I don't believe that, because a child at that age isn't going to a doctor to ask for pills, they are going to speak out, to be asked to be helped."" GPs do not need to seek parental consent to prescribe medication if the young person is deemed to be able to understand the nature of the treatment and potential consequences of the treatment. Ms McKenzie said the strength and effect of some mental health medications made it important that parents and guardians were ""fully involved and aware of the circumstances, allowing them to support treatment"" and safeguard their children by taking control of pills and dispensing them as required. ""We're not just talking about my daughter being 16 here, we are talking about there being no age of consent,"" she said. ""If they deem you to be wise enough, they will send you away with medication.""",The mother of a 16-year-old who took her own life by overdosing on anti-anxiety pills has told MSPs there is a fault in Scotland's healthcare system.,434
37411994,"Media playback is not supported on this device The British hockey player was among 26 athletes whose details were published by the Fancy Bears hack team on Monday. It showed she was given permission - a therapeutic use exemption (TUE) - to use a banned drug to treat her asthma. Quek feels ""violated"" and says hackers wrongly linked TUEs to cheating, adding: ""Young athletes coming through will be scared to use a TUE."" Part of the victorious British team at the Olympic Games in Rio, she said she was ""disappointed and irritated"" to discover her records had been leaked. The 27-year-old from Merseyside also called it a ""pathetic attempt to smear me personally and Team GB as a whole"". ""But also, I am 100% a clean athlete, so it's probably worked in my favour that the findings back up I am a clean athlete,"" she told BBC Sport. The records, which were stolen from a World Anti-Doping Agency (Wada) database, showed Quek received permission to use an inhaler containing salbutamol in 2008. The drug was effectively removed from the banned list in 2010, when the rules on its use were eased. However, Fancy Bears claim TUEs are ""licenses for doping"". ""My main concern is where does this lead, and what perception does this have on TUEs?"" Quek said. ""The public are being led down a road that TUEs are now being associated with being a cheat, or dirty. ""My real worry is in future Olympic cycles there will be a hockey girl like me, chasing her Olympic dream and pushing her body to its limit. ""She will become out of breath due to asthma and will need an inhaler, not to get an unfair sporting advantage, but to breathe, to make sure she does not die. Yet she will think twice about using one, or perhaps use it and feel guilty about doing so. Or worst still, refuse to use it completely. ""TUEs aren't about cheating. They are essential, sometimes even life-saving medical practices and should be viewed as such."" Quek added the process of obtaining a TUE was rigorous. Fellow British Olympic gold medallists Mo Farah, Helen Glover and Justin Rose, plus Spain's 14-time Grand Slam winner Rafael Nadal were among the 26 to have their details shared by the Fancy Bears on Monday. Last week, Rio 2016 gold medallists Sir Bradley Wiggins, Laura Trott and Nicola Adams, plus three-time Tour de France winner Chris Froome, were among those named as having TUEs.","Young athletes' health could be at risk from hackers leaking records, says Olympic gold medallist Samantha Quek.",515
25125672,"It will likely lead to a large X-ray telescope being launched in 2028, and to an orbiting observatory to detect gravitational waves going up in 2034. Together, these two ventures will cost in excess of 2bn euros (Â£1.7bn). They join a mission already approved known as Juice, which will see a big satellite sent to observe Jupiter and its icy moons in 2022. The path ahead was set by the Science Programme Committee (SPC) of the European Space Agency (Esa), which is meeting in Paris, France. The committee's decision should now give clear direction and certainty to Europe's research and industrial base. ""These big missions take a long time to put together - of the order of 20 years,"" said Dr Fabio Favata, head of Esa's Science Planning and Community Coordination Office. ""Of course, when you fix things you trade flexibility for stability, but this gives the community the opportunity to plan. They now understand what will be the'pillars', what will be the'cornerstones',"" he told BBC News. The SPC gathering was asked to approve a set of scientific ""themes"" that will guide the selection of Esa's next Large Class mission opportunities. The agency tries to launch one of these flagship endeavours every six years. The themes are titled the ""hot and energetic Universe"", and the ""gravitational Universe"". And although these themes do not endorse a specific X-ray telescope or gravitational wave detection concept, their prescription is so tight that only two candidates can have real confidence of making it through the forthcoming selection process. These are the two consortia that narrowly lost out to the Juice team in the last L-Class competition in 2012. The X-ray telescope proposal currently goes by the name of Athena+. It would be roughly four tonnes in mass and have a 12m focal length. With a survey capability and sensitivity a hundred times better than today's best space telescopes, Athena+ would be used to study the origin of the monstrous black holes that reside at the centres of galaxies, among other objectives. The gravitational wave observatory goes by the name of Lisa, which stands for Laser Interferometer Space Antenna. It would fire lasers across millions of km of space to try to measure the disturbance in the fabric of space-time resulting from exploding stars and merging black holes. It is a concept that has been studied for the better part of 20 years already.",Europe has fixed a broad plan for the big space science missions it will launch over the next two decades.,973
37448028,"The PM told defence chiefs she is determined to stop ""vexatious"" claims being brought against the armed forces. Two separate inquiries are examining about 2,000 allegations against troops who served in Iraq and Afghanistan. An MoD source said steps were being taken to prevent spurious complaints and reduce the number of cases. Former soldiers have claimed they have been hounded through the courts on unfounded claims and there are growing calls for the Iraq Historic Allegations Team (IHAT), which investigates claims of murder and abuse by British soldiers in Iraq, to be shut down. Mrs May raised the issue during her 90-minute meeting with Chief of the Defence Staff Air Chief Marshal Sir Stuart Peach, the heads of the Royal Navy, Army and Royal Air Force, and senior civil servants. She also discussed the fight against so-called Islamic State, also referred to as Daesh, and the migrant crisis in the Mediterranean. Mrs May said: ""The men and women of our armed forces do an incredible job, often making huge sacrifices to keep us safe. ""Whether taking the fight to Daesh in Iraq and Syria, helping to tackle the migrant crisis in the Mediterranean or providing flood relief at home - we owe them a huge debt of gratitude."" One of the cases before IHAT involves the death of a 19-year old Iraqi in a waterway near Basra 13 years ago. Three current and former servicemen who were cleared of wrongdoing over the teenager's death have now been told they may face prosecution. One of them, who wished to remain anonymous while under investigation, previously told the BBC: ""The reality of 21st-century warfare is now that anyone in the world, even our enemies, can make any allegation against British forces, no matter how absurd, and the British government and Army will stand and watch in utter indifference as it destroys their lives and careers. ""The Army has surrendered its own powers of discipline and investigation to a private company and betrayed its finest people to protect itself from scrutiny at the highest levels."" He said the Army's top staff had sacrificed junior ranks to protect themselves. He added that the Army should write to those being investigated by IHAT and state, up to the point of a guilty verdict: ""We are with you, you are one of us, and we will support you to the end"". This would be ""simple common decency"", he said.","Every effort must be made to stop the legal system being abused over allegations of serious misconduct by UK troops, Theresa May has said.",654
36858317,"Ms Baloch's mother, Anwar Azeem, told BBC Urdu that her daughter had shared all her sorrows and secrets with her. Her father, Muhammad Azeem, said his son should be ""shot on sight"". Mrs Azeem said her son lost his mind because of taunts about his sister's frank and often risque posts online. More than 500 people, almost all of them women, die in Pakistan every year at the hands of relatives who believe shame has been brought on their family. Ms Baloch became a household name in Pakistan after posting sometimes raunchy photographs, comments and videos on social media sites, on which she had hundreds of thousands of followers. The 26-year-old was well aware of the opposition she faced in the conservative Muslim country but was unapologetic. Her brother Waseem has said he drugged and then strangled her to death last Friday ""for dishonouring the Baloch name"". In their first interview with international media, Ms Baloch's parents said they had also been drugged on the night of the murder. ""My husband and I fell deeply asleep. We had drunk milk, it had been mixed with sedatives,"" Mrs Azeem said. ""In the morning, I called Qandeel for breakfast... but she didn't get up."" She found her daughter's body and found that ""her whole face was covered in bruises, her tongue was black, her lips was black"", and started crying, she said. ""We were mother and daughter, sharing all our sorrows and secrets. She used to tell me:'Your daughter is working hard, she'll go far,'"" she added. But Ms Baloch's brothers ""always had hatred in their hearts"", Mrs Azeem said. ""Before, they didn't care much. But recently, things got worse, people... poisoned their minds."" Mr Azeem said his daughter had been his ""best friend"", but described his son as ""crazed"". ""I say he should be shot on sight! He suffocated my little one,"" he added. ""We were drugged, asleep upstairs. She must have called out to us."" Earlier this week, the Punjab provincial government also became a complainant in the murder case, designating it a crime against the state. The rare move effectively prevented members of Ms Baloch's family from legally forgiving her brother - a common legal loophole that sees many so-called ""honour killings"" go unpunished. An anti-honour killings bill to close the loophole nationwide has been bogged down in the Pakistani parliament.","The parents of Pakistani social media celebrity Qandeel Baloch have spoken of their closeness to her and their bitterness towards their son, who has confessed to murdering her last week.",430
32688816,"A Moroccan Royal Armed Forces statement said the F-16, one of six stationed in the UAE, vanished on Sunday evening. The pilot of a second F-16 in the same squadron did not see if the pilot of the missing jet had ejected, it added. On Monday, coalition aircraft continued to bomb rebel positions ahead of the start of a proposed five-day ceasefire. Saudi Arabia says its offer of a pause in hostilities from 23:00 (20:00 GMT) on Tuesday to allow humanitarian aid deliveries is conditional on the Houthis reciprocating. The rebels have agreed to the truce, but say they will ""respond"" to any violations. The 10-nation coalition launched air strikes against the Houthis and allied army units loyal to Yemen's ousted former president Ali Abdullah Saleh on 26 March with the aim of restoring the government of exiled President Abdrabbuh Mansour Hadi. Morocco backed the intervention from the start and put at the coalition's disposal a squadron of F-16s already stationed in the UAE as part of the fight against Islamic State militants in Iraq and Syria. At around 18:00 (15:00 GMT) on Sunday, one of the F-16s went missing while flying over Yemen, a statement carried by the Moroccan state news agency said. An investigation into the aircraft's disappearance was under way, it added. Yemen's state news agency Saba, which is controlled by the Houthis, did not report on the plane's disappearance, nor was there any mention in other Yemeni media. Overnight, the Houthis' northern heartland of Saada was bombed for the third consecutive day, after the coalition declared the whole province a military target and an estimated 70,000 residents fled, the AFP news agency said. Rebels in the third city of Taiz and the eastern province of Marib were also reportedly attacked. Houthi fighters also traded heavy artillery and rocket fire with Saudi troops along Saudi Arabia's border with the provinces of Saada and Hajjah, residents told the Reuters news agency. There were no immediate reports of casualties. But the UN says more than 1,400 people, most of them civilians, have been killed since 19 March. Analysts say the coalition appears to be trying to inflict as much damage as possible on the Houthis and their allies before the humanitarian ceasefire starts. On Sunday, a group of 17 international aid agencies warned that five days was not sufficient to restock food, medicine and fuel supplies in a country under blockade.","A Moroccan warplane taking part in the Saudi-led coalition campaign targeting Houthi rebels in Yemen has gone missing, the North African state says.",452
