,headline,title,text,text_word_count
82630,"Measure the pyramid’s edge height., Imagine a right triangle., Assign variables., Calculate the diagonal of the square base., Find the side of the base from the diagonal., Use the side and height to calculate volume.",How to Calculate the Volume of a Square Pyramid3,"The edge height is the length of the edge of the pyramid, measured from the apex to one of the corners of the pyramid’s base. As before, you will then use the Pythagorean Theorem to calculate the perpendicular height of the pyramid.For this example, assume that the edge height can be measured to be 11 cm and you are given that the perpendicular height is 5 cm., As before, you need a right triangle to use the Pythagorean Theorem. In this case, however, your unknown value is the base of the pyramid. You know the perpendicular height and the edge height. If you imagine cutting the pyramid diagonally from one corner to the opposite corner and opening it up, the exposed inside face is a triangle. The height of that triangle is the perpendicular height of the pyramid. It divides the exposed triangle into two symmetrical right triangles. The hypotenuse of either right triangle is the edge height of the pyramid. The base of either right triangle is one-half the diagonal of the base of the pyramid., Use this imaginary right triangle and assign values to the Pythagorean Theorem. You know the perpendicular height, h,{\displaystyle h,} which is one leg of the Pythagorean Theorem, a{\displaystyle a}. The edge height of the pyramid, l,{\displaystyle l,} is the hypotenuse of this imaginary right triangle, so it takes the place of c{\displaystyle c}. The unknown diagonal of the base of the pyramid is the remaining leg of the right triangle, b.{\displaystyle b.} After you make these substitutions, the equation will look like this: a2+b2=c2{\displaystyle a^{2}+b^{2}=c^{2}} h2+b2=l2{\displaystyle h^{2}+b^{2}=l^{2}}, You will need to rearrange the equation to isolate the variable b{\displaystyle b} and then solve for its value.h2+b2=l2{\displaystyle h^{2}+b^{2}=l^{2}}..........(revised equation) b2=l2−h2{\displaystyle b^{2}=l^{2}-h^{2}}..........(substitute h2 from both sides) b=l2−h2{\displaystyle b={\sqrt {l^{2}-h^{2}}}}..........(square root both sides) b=112−52{\displaystyle b={\sqrt {11^{2}-5^{2}}}}..........(insert numerical values) b=121−25{\displaystyle b={\sqrt {121-25}}}..........(simplify squares) b=96{\displaystyle b={\sqrt {96}}}..........(subtract values) b=9.80{\displaystyle b=9.80}..........(simplify square root) Double this value to find the diagonal of the square base of the pyramid. Thus, the diagonal of the pyramid’s base is 9.8*2=19.6 cm., The base of the pyramid is a square. The diagonal of any square is equal to the length of a side times the square root of 2. Conversely, you can find the side of the square from its diagonal by dividing by the square root of 2.For this sample pyramid, the diagonal has been calculated to be 19.6 cm.",458
114181,"Build your self esteem and confidence., Don’t compare yourself to others., Take care of yourself and your appearance., Be approachable., Be an amazing person., Be kind and funny., Keep up in school., Join sports.",How to Attract Girls2,"Self confidence and self esteem are very attractive qualities. Girls will fall head over heels for a guy that is confident in himself and what he can do. Do things that build your confidence in yourself like volunteering, learning a new skill, or traveling. You can build confidence by volunteering with an organization like Homes for Humanity. This will give you the chance to prove to yourself and everyone else that you can do something and make a difference. You can also boost your confidence by learning a new skill, like a second or third language. This can be done easily and for free online with sites like Livemocha., This is not going to make you feel any better about yourself. The only person you can ever be is you and that is great! Show the world how awesome you can be and stop trying to be somebody else’s brand of awesome. Don’t try to act like anyone other than yourself either. Girls will notice you trying to hard and being all fake and they will not find that attractive. Acting like some gangsta thug when you grew up rich in the suburbs? Sorry, poser. She’ll notice. Just be you and be happy about being you. Girls will find that very attractive., Don’t neglect personal hygiene or your wardrobe. Why would a girl like you if you didn’t even like yourself enough to take care of your body? Wash your hair and body regularly, use deodorant, wear clothes that don’t have holes or stains, and brush your teeth. Don't worry too much about wearing brand name clothes. She'll notice a lot more if your clothes fit you well and are in colors that make you look great, not what letter is written on the chest. Don't go overboard, of course. Some gel in your hair is probably good, but it shouldn't look wet and be rock hard, you know?, Don’t seem angry, upset, douchey or otherwise unpleasant to talk to. If you seem like you’re mad at her every time you talk to her, why would she want to talk to you, much less date you? Smile, be friendly, and try to make yourself easy to talk to by, you know, talking., Be someone that girls want to date. You don’t have to be smart but at least try to be knowledgeable and curious.",722
65274,"Analyze the situation., Learn to listen., Do not talk too much about your personal life., Avoid getting obsessed with things that don't really matter., Do not brag., Do not do pointless things that other people label as ""cool."", Disregard what some idiots think about you., Have good hygiene., Try to be balanced., Dress cool!, Be an easy to talk to person.",How to Be Smart and Cool at the Same Time,"How nerdy are you? Are you a nerd at all? We're not talking about how smart you are. You need to figure out how people perceive you, for the most part. Slightly dorky, but mostly cool? A normal kid with a geeky side? A total social outcast? Someone you wouldn't expect to have good grades? Don't let what you find out in this step get you down or make you arrogant. Others' opinion of you isn't the end of the world. We are just using it as a tool for your personal development. Besides, you're not really ""nerdy."" You're just smart and you happen to be capable of forming interests without the validation of the mainstream.;, Sometimes you might not notice that you are talking and think that people are actually interested but they are annoyed or bored. If you can't think of anything to say ask a question that is not too lame. Most people like to talk about themselves. It's good to be talkative and able to hold up a conversation, but make sure to let the other person or people speak - really listen when they are talking. Practice your speaking skills with people you feel comfortable with, like a sibling or neighbor., If someone asks what you like to do for fun, don't lie. Just answer honestly (no matter how geeky the answer is). But do not go into much detail. For example, if you like to make web-pages, don't say ""I make the best web-pages without even using any programs. I make them with NotePad because I memorized HTML and I'm fluent in JavaScript, and I hate how the WYSIWYG editors force you to conform (conformity is so mainstream) and to relax I like to play MMORPGS, Warcraft on the Dalaran server, to be specific, blah-blah-blah."" Just say, ""I like to use the computer and play videogames."" If they ask you specifically, say ""I make websites"", or ""I like to play Warcraft"". Don't go into details, unless you're asked, because most people don't care. They're just making conversation (something you'll soon be doing). If you play a sport or do something else in your free time, like go shopping, go to the beach, watch movies or eat at your favorite restaurant, you might want to mention that too, in order to downplay your ""nerdy"" hobbies.",1015
11734,"Choose a contest that suits your writing style., Research the judges., Don't be too formulaic., Check the guidelines., Research your story., Outline your story., Develop your characters., Choose a point of view., Write a great hook., Follow the outline, but allow the process to happen too., Show don’t tell., Don’t overwrite., Use dialogue effectively., Don’t forget conflict., Write towards a climax., Proofread over and over again., Have someone else read it., Use Duotrope and Submittable., Don’t be too disappointed if you don’t win.",How to Win a Short Story Competition,"When trying to find a contest, pick one that is suitable for your writing style. Most contests are connected to magazines, so it's a good idea to read past issues to figure out which one will fit your writing style best. Alternatively, read the stories of past winners, as this will also give you an idea of what the judges want.;, Most contests have regular judges that judge the contest every year. Many are writers themselves. Research what they write and if possible, the writers they admire. Similarly, check out the guest judges. Find out what they like and how they write., Don’t worry if the story you plan to submit isn’t exactly the same as previous winners’ stories. The judges will want something that is somewhat similar in style or mood, but you should also be innovative. They don’t want the same story over and over each year., All contests will have submission guidelines. These will give you ideas about what styles the contest accepts, as well as the word count you should be under and formatting guidelines., Whatever you are writing, you will need to do research on your topic. To do this, read, read, and read some more. Read writers you admire and ones you don’t enjoy as much. Choose writers across many genres. Read collections of short stories and novels. Read information articles and literary magazines. All of it will make you a better writer., Take the time to sketch out what your narrative will be. It doesn’t need to be completely filled in; it just needs to give you an idea of where your story is going. What’s going to happen in the story? Why should your reader care about it?, Spend some time free writing about what makes your characters unique. You should aim to make your characters as diverse as possible - you can do this by asking yourself a number of questions, like: What does this character look like? What do they like to do in their free time? What are their secret wishes? What motivates them? What is their impact on the story going to be? You won’t use every detail you write out, but the details will help you create a more well-rounded character in your story. If the character becomes real to you, he or she will also become real to the reader.,",1067
27581,"Buy a tinting kit., Shape your eyebrows., Clean your eyebrows., Apply petroleum jelly (optional)., Mix the colors., Apply the tint., Remove excess tint., Apply tint to your eyelashes., Wait for the tint to set., Wash off the colour., Repeat the process with the other brow., Finished.",How to Tint Eyebrows,"Go to your local drugstore or beauty supply store and find an eyebrow tinting kit. This kit will come with everything you need to tint your eyebrows. Think carefully about what color you choose. The darker your hair, the darker the shade of tint you should get. Blondes shouldn't get black eyebrow tint, as the contrasting shades would clash.;, It's advised to shape your eyebrows before you tint them. Use whatever method you normally use to shape your eyebrows, be it trimming, tweezing, waxing or another. Do this a day before you dye your eyebrows., Use makeup remover to remove any makeup from your eyebrows and gently clean them with a damp cotton pad. Brush them down with a spoolie., To prevent the tint from dying your skin, apply petroleum jelly on the skin around your eyebrows., Eyebrow tinting kits vary on what they come with and how they are mixed. Follow the instructions on the kit you've chosen to mix the dye and the conditioner. Some kits come with a black and a brown paste. If you want darker eyebrows, put a dab of each into a paper cup. If you want lighter eyebrows, only use a dab of brown. Also add as many drops of eyebrow tint developer or conditioner as recommend by the kit instructions, then mix.Your kit might come with its own mixing cup. If so, you can use that. Otherwise, you can use any small cup or plate. Some kits will come with a spatula or wooden sticks to mix the tinting components. You can either use that or a small brush., Brush the tint onto your eyebrows using an eyebrow brush. Use whatever application device the kit came with, most likely a wooden stick. Thoroughly coat your eyebrows from the inside to the outside corner. First concentrate on the center of the brow, then go back over, focusing on the smaller hairs along the edge., If you didn't use petroleum jelly to avoid getting tint on your skin, you can use a q-tip and some eye makeup remover solution to clean up the tint around your eyebrows. Slowly drag the q-tip along the edge of your brow to give it a nice, clean line., This step is optional. If your eyelashes are light colored, you might want to apply some of your tint to them so that they better match your soon to be tinted brows.",559
17075,"Burn incense before smoking., Use a vaporizer., Try a one-hitter., Smoke outdoors, if legal., Consider edibles., Consider strains that produce less smell., Use a sploof.",How to Get Rid of Weed Smell3,"It's a good idea to burn a little incense before smoking. You can purchase incense at many supermarkets and craft stores. Choose a mild, natural scent. Light the incense about 5 minutes before you start smoking. This will get the air thick with incense odor, preemptively masking the smell of pot when you begin smoking., A vaporizer is a small, portable device that vaporizes the active ingredients of marijuana. It allows you to inhale the plant without having to light anything, reducing the amount of odor caused by smoking. Investing in a quality vaporizer can greatly minimize odor when smoking.You can purchase a vaporizer online. If you live in a state where marijuana is legal for recreational or medicinal purposes, you may be able to purchase a vaporizer at a marijuana dispensary.You can use a vaporizer anywhere in your home and the smell of marijuana will be very much diluted. Air fresheners, odor removers, and other smell-removing techniques may be unnecessary when using a vaporizers.One downside is that vaporizers often need to charge before use, so make sure to plug in your vaporizer for a bit before you want to smoke., A one-hitter is another portable device you use to smoke marijuana. A one-hitter is a mechanical, reusable device designed to look something like a cigarette. You fill the device with a small amount of marijuana and then smoke it like a cigarette. One-hitters, like vaporizers, produce less smell than other methods of smoking.As with a vaporizer, you can purchase a one-hitter online. If you live in a state where marijuana is legal for recreational or medicinal purposes, you may be able to buy a one-hitter at a marijuana dispensary., Smoking outside creates less scent because odors disperse in the air. If you're legally able to do so, smoke outside when possible. This will result in less smells becoming trapped in your home., Marijuana can be cooked into butter and then made into a variety of baked goods. If you live in a state where marijuana is legal for medicinal or recreational purposes, you can buy a wide variety of edibles at a local dispensary. Edibles virtually eliminate odor, as no smell is produced via smoking or storage. If you want to eliminate odor, consider purchasing edibles over smoking., Marijuana comes in a variety of strains. Some strains produce a less pungent odor.",595
74769,"Eat more calcium-rich foods., Incorporate more magnesium., Add more phosphorus., Find good sources of potassium., Include chloride in your diet., Get enough trace elements in your diet., Make sure to eat iron-rich foods.",How to Diet Without Losing Essential Minerals1,"Calcium is an essential mineral that is important for bone health. If you cut out dairy foods while dieting, your calcium intake may decrease; however, dairy is not the only way you can get calcium while on a diet.Try dairy sources like low-fat yogurt, Greek yogurt, part skim cheese, low-fat cottage cheese, and low-fat milk. Leafy green vegetables, like collards, kale, turnip greens and spinach contain calcium. Other vegetables with calcium include soybeans, broccoli, asparagus, Brussels spouts, fennel, cabbage, summer squash and green beans. Blackberries and oranges are fruit sources with calcium. Black beans, pinto beans, kidney beans, white beans, and black-eyed peas also contain calcium. Eat protein sources that contain calcium. These include sardines, tofu, salmon, trout, and eggs. Nuts and seeds have calcium. Try almonds, peanuts, or sesame seeds.;, Magnesium is important for your heart, muscles, and immune system. More than half of Americans don't get enough magnesium in their diets. Try these foods for a magnesium boost:Almonds Sesame seeds Sunflower seeds Bananas Cashews Tofu Pumpkin seeds Flaxseed Milk Oatmeal, quinoa, millet, and brown rice Broccoli Sweet corn Peas Leafy greensDark chocolate Mackerel Beans Avocado, Phosphorus helps maintain bone health by keeping them strong. It also helps with muscle movement and provide energy to the body. You can look at the label for phosphorus levels, with anything above 15% of your daily value being high.Try low-fat dairy, such as cheese, cottage cheese, and yogurt. Seafood, like oysters, sardines, and fish, are high in phosphorus. Try avocado, lentils, chick peas, mushrooms, corn, peas, black beans, pinto beans, broccoli, and spinach. Dried fruits have higher levels of phosphorus than fresh fruits. Try whole grains, like oatmeal, barley, quinoa, and millet. Other sources include nuts, peanut butter, milk, soy milk, and sesame seeds., Potassium helps with nerve and muscle function. It helps with heart health by regulating heartbeat. Potassium also helps lower blood pressure. Foods with high levels of potassium are:Bananas Almonds Ground beef Beets Blackberries Broccoli Sweet potatoes Tomato sauce with no added salt Orange juice Fresh or frozen tuna Low-fat yogurt Low-fat milk, Chloride is important for digestive help. It helps keep the body's fluids in balance. Chloride is most commonly found in table salt, but many people reduce salt while dieting. There are many food sources of chloride, too.Try vegetables like tomatoes, lettuce, and celery.",628
161857,"Reopen if you discover an asset., Consider reopening an estate if you discover a new debt., Reopen the estate if all assets were not distributed., Analyze whether to reopen after the discovery of a will., Check whether to reopen for a newly discovered heir., Check if you need to reopen for litigation., Consult with a probate attorney., Check if you can file the petition., Complete a petition., File your petition., Serve notice., Distribute any newly discovered wills., Identify the value of newly discovered assets., Keep detailed records., Distribute assets., Close the estate in a timely manner.",How to Know when to Reopen an Estate,"This is the most common reason for reopening an estate. For example, you may discover a bank account, retirement account, bonds, or some other type of asset after the estate has been closed. If so, you can petition the court to reopen the estate.Check to see that the asset has been titled in the deceased’s name. For example, vehicles, boats, bank accounts, and investment accounts should have a title or other documentation identifying the owner. However, other assets don’t. Also look to see who the beneficiary is. Some assets, such as retirement accounts, have designated beneficiaries. If so, then the asset doesn’t need to pass through probate, so you won’t need to reopen the estate. Other assets won’t have a designated beneficiary, which means you will have to collect it for the estate.;, Someone who lent the deceased money might appear to make a claim for payment from the estate. In some situations, you may need to reopen the estate.Analyze whether or not the claim is timely. During administration, the personal representative should have given notice to possible creditors via publication in a newspaper or by direct mailing. Creditors then had a certain amount of time to file a claim against the estate. If they file too late, they are typically barred from attempting to collect on the debt. Laws vary by state, so consult a probate attorney and find out if the estate is responsible for the debt., The personal representative might have closed the estate without properly distributing all assets to heirs or beneficiaries. If so, you can petition the court to reopen the estate. You should look at your copy of the will. Check to see if some gift wasn’t distributed to a beneficiary. However, things can get complicated because the will does not list every asset in the estate. You will have a very strong case to reopen the estate if the personal representative committed fraud or other wrongdoing., You may unearth a new will when going through the deceased’s belongings. Often, a court will refuse to revoke probate because a new will has been discovered. However, you should analyze the situation. The new will must be valid and enforceable. It should have been signed according to your state’s formalities. The rules differ by state, but generally at least two people must witness the signing of the will.",1240
22415,"Lock your feet into the straps., Get into the starting position., Push off the foot plate with your leg muscles., Lean back into a 45 degree angle., Practice arm isolations., Extend your arms while reaching your torso forward., Bend your knees to return to the starting position., Start at the right setting., Engage the right muscles when rowing., Do not move your arms and legs at the same time., Keep your back straight.",How to Row on a Rowing Machine,"Before you begin, make sure your feet are secured to the foot plate. To do so, use the straps provided on the machine.Pull the straps across the top of your foot. Secure them until they're tight to the point your feet do not slide around on the foot plate.;, The starting position for rowing is known as ""the catch."" To get into the catch, bend your knees until your body is near the handle at the front of the machine. Grab the handle securely with both hands. Make sure your back is straight.Hinge forward at the hips so the torso is tilted in a forward leaning position over your legs. Keep your back as straight as you can. Make sure to grab the handle firmly. You do not want it to slide out of your hands while you are rowing., When using a rowing machine, you're moving one body part at a time — start with the legs.When you push off the foot plate, you will be using your quads and glutes to extend your legs. Do not make the mistake of using your full-body all at once during this exercise. Rowing properly means you are progressing from using your legs, then your core, then your arms in succession — not all at once in a single full-body move. The muscles used for a rowing machine should be 60% legs, 20% core, and 20% arms/shoulders. Keep your arms and torso in the original position., Once your legs are straightened out, use your core and hamstrings to lean back to a roughly 45 degree angle, keeping your spine straight. Your core muscles keep the pelvis and upper torso locked together — this will stabilize your back, preventing movement along the spine which could lead to injury., Once your legs are straight and your back is tilted, you can practice including the arm movements. Your core will remain engaged, holding your torso at a 45 degree angle as you pull the handle toward your chest. Bend your elbows in order to pull the handle towards your chest. Pull the handle inward until it touches just below your chest. This move will cause your latissimus dorsi to contract to stabilize the shoulder, the deltoids and triceps contract to pull the elbow back and the handle towards the sternum., You will now begin to return to starting position, following the reverse sequence of movement — arms, core, legs.",815
206479,"Get a sky map., Ready some binoculars., Get a telescope., Get to know good seeing conditions., Find the right time of the day or night., Pick your spot and be ready to wait., Find Jupiter with binoculars., Take a closer look with a telescope., Find the Great Red Spot., Try to sketch what you see., Do some Jupiter Photography., Make a Jupiter Movie.",How to Observe Jupiter,"Before you start looking for Jupiter, you should get hold of a sky map which can show you where in the sky to start looking. For more advanced astronomers, there are numerous sophisticated maps of the sky which show the position and trajectory of the planets. For those inexperienced in reading these paper maps there are a number of smart phone apps which you can download which will help you to find Jupiter and the other planets and stars in the sky. With some smartphone apps all that you have to do is hold the phone up to the sky and it will identify the stars and planets for you.;, Jupiter is so massive and bright in the sky that it can be viewed with a good pair of binoculars. Binoculars that magnify seven times human eyesight will be effective and will reveal Jupiter as a small white disk in the sky. If you don’t know what strength your binoculars are look at numbers on the side, if it says 7x another number then they magnify seven times and will enable to observe Jupiter., To really get a good view of the Jupiter’s spectacular features, your observations will be improved with even an entry-level telescope. This equipment will help you to see Jupiter’s famous belts, all four of its moons, and potentially even the Great Red Spot. The range of telescopes available is huge, but for beginners a 60 or 70mm refractor telescope is a good place to start.The performance of your telescope will drop if the optics are not sufficiently cooled. Keep it in a relatively cool place, and before you want to start viewing place it outside so its temperature can drop before you begin., You can save time and avoid fruitless hours by learning to identify good viewing conditions quickly. Before setting up the telescope take a look at the stars. Ask yourself if the stars are twinkling brightly through the sky. If so, this suggests that there is a turbulent atmosphere. Such conditions make planet observation more difficult, instead you want calm night-sky. In a steady night with good seeing conditions, the sky might appear somewhat hazy. The Association of Lunar and Planetary Observers (ALPO) has a scale for seeing conditions which goes from 0 to 10. If the conditions score lower than a 5, your chances of a good observation are very slim.",1125
