,generated_text
D15-1259,"The rapid proliferation of microblogging platforms like Twitter and Weibo has transformed how individuals consume and share information. A defining characteristic of these platforms is the ""repost"" functionality, allowing users to rapidly disseminate content to their networks. This creates complex structures known as repost trees, where a single initial message spawns a branching network of shares, comments, and reactions. These trees, if properly analyzed, hold valuable insights into the evolution of events and trends unfolding online. Understanding the narrative arc within a repost tree is crucial for social media users who seek to quickly grasp the essence of an event without having to wade through potentially overwhelming volumes of information. While existing summarization techniques often treat microblog posts as independent entities, they fail to leverage the inherent structural information embedded in these repost trees. This paper addresses this gap by proposing a novel framework for summarizing microblog repost trees, specifically designed to capture the development of events as reflected in their cascading structure. Our core idea is that repost trees contain messages of varying importance in conveying the key information of the event. Some messages act as “leaders,” setting the initial tone and direction for subsequent discussions, while others are “followers,” elaborating on or reacting to the leaders. Effectively differentiating between these two types of messages allows us to identify the most salient clues contributing to the event's unfolding narrative. To achieve this distinction, we introduce a content-level structural analysis, focusing on both the content of the messages and the relationships defined by the reposting actions. We hypothesize that messages initiating significant branches or containing novel information are more likely to function as leaders. We formalize this intuition by employing Conditional Random Fields (CRFs) to detect leaders along various paths within the repost tree. The resulting leader information then guides a modified random-walk-based summarization model, which ranks and selects messages based on their probability of being leaders and their connectivity within the tree. Recognizing that errors in leader detection can propagate throughout the summarization process, we further refine our framework with adjustment steps within the random walk, enabling it to dynamically adapt its sampling based on the collective reposting behavior observed across all messages. To rigorously evaluate our approach, we constructed two manually annotated corpora specifically for this task: one for leader detection and another for end-to-end repost tree summarization. Experimental results on these corpora demonstrate that our method significantly outperforms baseline approaches, confirming its effectiveness in leveraging content-level structures to generate concise and informative summaries of microblog repost trees."
D18-1290,"The burgeoning field of question answering over the web has spurred considerable interest in understanding the syntactic structure of web queries. These queries, often representing user intent in a complex and nuanced way, possess a distinct grammatical character that differs from standard, well-formed sentences. Recognizing and accurately parsing this structure is crucial for effective query interpretation and subsequent information retrieval. Previous work (Bron et al., 2017) has effectively formalized the grammar of web queries, notably using a forest grammar, and proposed semi-supervised algorithms to adapt traditional dependency parsers. However, these approaches often rely on substantial, proprietary resources—large-scale web corpora and meticulously curated datasets—that are impractical for many research environments and smaller organizations. This limitation has motivated us to explore more accessible and scalable solutions for parsing web queries. This paper presents a novel approach to neural transition-based parsing specifically designed for web queries. Our model addresses the key challenge of capturing the unique grammatical properties of web queries without requiring extensive external resources. We introduce a BiLSTM (Bidirectional Long Short-Term Memory) query parser that incorporates two key innovations. First, the parser is explicitly designed to adhere to the forest grammar of web queries, enabling it to correctly model the complex hierarchical relationships characteristic of these structures. Secondly, and perhaps more significantly, we integrate named entity (NE) information directly into the parsing process. This is achieved through the incorporation of a jointly trained BiLSTM NE tagger, which provides valuable contextual cues for syntactic analysis. By leveraging NEs, the parser can more effectively disambiguate query structure and improve overall parsing accuracy. To train and evaluate our proposed model, we annotate the publicly available query treebank of (Bron et al., 2017) with named entities using a pre-trained BiLSTM NE tagger. This annotated dataset serves as the foundation for training our combined parser and NE tagger. Experimental results demonstrate that our model, when trained on a dataset of 2500 annotated queries, achieves a substantial improvement in parsing performance compared to existing state-of-the-art parsers. Specifically, we achieve a UAS (Unlabeled Attachment Score) of 83.5% and a segmentation F1-score of 84.5%. These results underscore the effectiveness of our entity-based approach and its potential for enhancing web query understanding. The remainder of this paper details the design and implementation of our BiLSTM query parser, presents comprehensive experimental results, and concludes with a discussion of future research directions."
D18-1148,"The burgeoning field of nowcasting—predicting real-world events in near real-time—has increasingly leveraged the vast stream of data generated on social media platforms like Twitter. The promise is compelling: access to unobtrusive, high-frequency indicators of community-level outcomes, ranging from economic trends to public health concerns. However, a frequently overlooked aspect of these approaches is the fundamental unit of analysis – the individual user. Traditional methods often aggregate all tweets within a defined geographic boundary (e.g., a county) without considering the inherent heterogeneity of the Twitter population. This aggregation can mask crucial patterns and relationships, potentially limiting the predictive power of lexical-based models. This paper challenges this conventional wisdom by introducing a simple yet remarkably effective method: user-level aggregation. Our central hypothesis is that by accounting for individual user contributions within a community, we can substantially improve the accuracy of population-level predictions derived from Twitter language. The standard practice in social media nowcasting involves aggregating all tweet-level data within a given region and then applying lexical analysis techniques to infer the desired outcome. While straightforward, this approach conflates the signals from different user groups, potentially obscuring the true underlying patterns. For instance, a county with a large influx of temporary workers might exhibit a skewed linguistic profile that doesn’t accurately reflect the long-term demographic characteristics of its permanent residents. Our proposed method, in contrast, aggregates tweet language  by user  within each county, essentially constructing a user-level linguistic profile. This allows us to capture more nuanced variations in language use and may better reflect the true community-level characteristics. By incorporating user-level insights, we aim to address a fundamental limitation of previous work and enhance the reliability and accuracy of social media nowcasting models. To rigorously evaluate our approach, we conducted experiments on four distinct U.S. county-level tasks. These tasks span a diverse range of outcomes, including median household income, unemployment rates, measures of public health (e.g., flu prevalence), and self-reported life satisfaction. We constructed models using Twitter language aggregated both through the standard method (all tweets) and our proposed user-level aggregation technique. The results, detailed in the subsequent sections, consistently demonstrate a significant and substantial improvement in predictive accuracy across all four tasks. For example, we observed a marked increase in Pearson correlation coefficients, from r = .73 to .82 for median income prediction and from r = .37 to .47 for life satisfaction prediction."
D16-1070,"The availability of large, annotated linguistic resources has revolutionized many areas of Natural Language Processing. Treebanks, in particular, provide invaluable data for training statistical models for syntactic parsing, dependency parsing, and related tasks. However, these treebanks are rarely created under a single, unified annotation scheme. Instead, they often reflect diverse linguistic theories, annotation guidelines, and priorities, resulting in heterogeneous annotations. This heterogeneity presents a significant challenge: how can we effectively leverage multiple treebanks annotated under different standards to improve model performance? Prior research has predominantly addressed this challenge through discrete modeling approaches. Techniques like stacking (e.g., training separate models on each treebank and combining their predictions) and multi-view learning (e.g., representing each treebank as a different “view” and learning a joint representation) have demonstrated some success, but often require careful feature engineering and can be computationally expensive. The need for feature engineering, in particular, limits the adaptability and scalability of these discrete methods. In this paper, we shift the paradigm and investigate the potential of neural network models to handle heterogeneous annotations. Our central premise is that neural networks, with their capacity for automatic feature learning and end-to-end training, offer a more flexible and efficient alternative to traditional discrete approaches. We propose neural network counterparts to both stacking and multi-view learning, effectively translating these established techniques into the neural domain. Specifically, we build a neural network architecture that processes each treebank separately and then combines their representations, mirroring the stacking approach. We also explore a neural network that learns a shared representation across multiple treebanks, analogous to multi-view learning. Our experimental results, conducted on several publicly available treebanks, demonstrate that our neural models achieve not only superior accuracy improvements compared to their discrete baselines but also exhibit a significant speed advantage. Remarkably, the added computational cost of incorporating multiple treebanks is minimal, typically adding only a negligible amount of time compared to training a neural model on a single treebank. This efficiency stems from the inherent advantages of neural networks – the elimination of manual feature engineering, the ability to directly optimize a unified objective function, and the potential for parallelization across multiple GPUs. Furthermore, our findings highlight the unique capabilities of neural networks in handling heterogeneity. The freedom from explicit feature design allows the model to automatically discover and exploit subtle relationships between different annotation schemes, something that is often difficult to achieve with manually engineered features."
P14-1008,"The burgeoning field of Natural Language Processing (NLP) continually seeks to bridge the gap between human language and machine understanding. While significant progress has been made in tasks like machine translation and sentiment analysis, true semantic understanding - the ability for machines to reason about the meaning of language – remains a formidable challenge. Compositional semantics, a core area within NLP, aims to achieve this by modeling the meaning of a sentence as a function of the meanings of its parts and their syntactic relationships. Recent advances in dependency parsing have provided a powerful tool for representing these relationships in a structured and interpretable manner, leading to the development of Dependency-based Compositional Semantics (DCS). DCS frameworks offer the attractive benefit of producing easily processable semantic structures alongside a rigorous semantic foundation, making them a compelling choice for semantic representation. However, existing DCS approaches typically focus on the generation of compositional semantics representations and subsequent downstream tasks like question answering or textual entailment. A significant gap remains in equipping DCS with the ability to perform logical inference – the capacity to draw conclusions and deduce new information from existing semantic representations. Addressing this limitation is crucial for enabling truly intelligent language understanding, as it allows systems to go beyond simply representing meaning and instead reason about it. In this paper, we tackle this challenge head-on by extending the DCS framework with a robust logical inference mechanism. Our core contribution lies in the introduction of  abstract denotations , a novel concept that distills the computational process of denotation generation within the original DCS framework. These abstract denotations serve as a simplified yet informative representation suitable for logical reasoning. Leveraging these abstract denotations, we construct an inference engine capable of performing logical operations over compositional semantic representations. Furthermore, we introduce a dynamic knowledge augmentation strategy that combines our framework with tree transformation techniques, allowing for the generation of new knowledge on-the-fly during the inference process. This enables the system to reason with information not explicitly present in the initial semantic representations. To validate our approach, we conduct experiments on two established datasets: FraCaS, a benchmark for compositional semantics inference, and PASCAL RTE, a standard dataset for Recognizing Textual Entailment. The experimental results demonstrate the promise of our method, showcasing its effectiveness in performing logical inference on DCS representations and suggesting a significant step towards building more intelligent NLP systems capable of reasoning about and understanding natural language. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
D18-1347,"The increasing globalization of communication has led to the widespread phenomenon of code-switching, where speakers seamlessly blend multiple languages within a single conversation or written text. This linguistic practice is particularly prevalent in multilingual communities worldwide, reflecting a dynamic and adaptable form of language use. However, code-switching poses a significant challenge to Natural Language Processing (NLP) systems, which are traditionally designed to operate on monolingual data. The scarcity of labeled data representing code-switched language further exacerbates this issue, hindering the development of robust and accurate NLP models. Existing approaches often rely on explicit language identification as a preliminary step, requiring complex and sometimes unreliable language detection systems. This dependence adds overhead and introduces potential errors into the overall pipeline. Moreover, the rise of transliteration – the replacement of characters from one script with characters from another – adds another layer of complexity, particularly in languages with distinct writing systems. In this paper, we address the problem of part-of-speech (POS) tagging for code-switched, transliterated texts without the need for explicit language identification. Our central contribution is a novel model architecture that leverages monolingual resources to achieve effective POS tagging in code-switched scenarios. Unlike traditional approaches, our model is trained solely on monolingual data, eliminating the need for costly and often scarce code-switched training examples. The key innovation lies in the joint maintenance of separate word representations for each potential language or script present in the target code-switched text. This allows the model to consider multiple linguistic possibilities simultaneously during inference, without being forced to make a premature and potentially inaccurate language commitment. We argue that this approach better captures the nuances of code-switching, where the linguistic context often provides cues for determining the appropriate POS tag even in the absence of explicit language labels. To validate our approach, we conducted extensive experiments on Hindi-English code-switched text, a common language pair in multilingual Indian communities. Our results demonstrate that our proposed model outperforms standard POS tagging models trained on monolingual data when applied to code-switched text, even in scenarios involving transliteration. This highlights the potential of our method to significantly improve the performance of NLP systems in handling the complexities of code-switching and transliteration, paving the way for more inclusive and effective language technologies for multilingual populations. The remainder of this paper details our model architecture, experimental setup, and results, providing a comprehensive evaluation of our approach and its implications for the broader field of multilingual NLP."
C14-1012,"The field of image retrieval has long been dominated by approaches that treat images as collections of visual “terms,” much like document retrieval relies on bags of words. These bag-of-terms representations, often derived from features extracted by algorithms like SIFT or SURF, are effective at identifying images containing specific objects or visual elements. However, this approach fundamentally discards valuable spatial information – the relationships between different regions within an image. In many real-world search scenarios, the  way  objects relate to each other is crucial to satisfying the information need. Consider the task of finding images depicting “people performing actions.” A simple bag-of-terms representation might identify images containing both a person and a tool, but fail to distinguish between a scenario where a person is skillfully using that tool versus one where the objects merely coexist in the same scene. The ability to discern such contextual relationships is key to significantly improving retrieval relevance. This paper investigates the potential of leveraging structured image representations to enhance query-by-example image retrieval, specifically focusing on capturing the spatial relationships between image regions. We hypothesize that a representation capable of distinguishing between simple object co-occurrence and genuine interactions will lead to improved retrieval performance, particularly in scenarios where action and relationships are central to the information need. To this end, we explore the use of Visual Dependency Representations (VDRs), a relatively recent framework for representing images as structured graphs that explicitly encode the semantic relationships between image regions. VDRs offer a significant departure from traditional bag-of-terms models by preserving the spatial and semantic context within an image. Instead of simply detecting the presence of objects, VDRs describe how those objects interact, detailing relationships like “person holding tool” or “ball being kicked by person.” This structured representation allows for a more nuanced and expressive depiction of visual scenes. To evaluate the efficacy of leveraging VDRs for image retrieval, we designed a query-by-example retrieval experiment centered on a dataset of images depicting people performing actions. We compared the retrieval performance of a VDR-based approach against a standard bag-of-terms baseline. Our results demonstrate a substantial improvement – an 8.8% relative increase in Mean Average Precision (MAP) and an 8.6% relative increase in Precision@10 – when using VDRs to represent images. These findings suggest that incorporating relational information into image representations can significantly enhance the accuracy and relevance of image retrieval systems, paving the way for more sophisticated and context-aware search experiences."
D13-1084,"The rise of global online communication has fostered a dynamic environment where multilingual speakers frequently code-switch – seamlessly transitioning between languages within a single conversation or text. This phenomenon is particularly prevalent in online forums, social media discussions, and instant messaging, where casual communication styles often blur linguistic boundaries. Analyzing these large-scale multilingual datasets presents unique challenges, most notably the need for automated language identification (LID) operating at a fine-grained, word level. Traditional language identification techniques often focus on entire sentences or documents, proving inadequate for the nuanced linguistic landscape of code-switching. Such methods fail to capture the intricacies of word-level language shifts, leading to inaccurate analyses and hindering the extraction of meaningful insights from multilingual data. Our work addresses this critical need by presenting a novel approach to word-level language identification specifically designed for online multilingual communication. The objective is to accurately determine the language of each individual word within a text, enabling more precise analyses of code-switching patterns, language usage trends, and user behavior in multilingual online environments. We hypothesize that by combining the strengths of language models and dictionaries, alongside incorporating contextual information, we can achieve high accuracy in word-level language identification, even in the presence of frequent code-switching. Our methodology centers on a two-stage process. Initially, we employ a combination of language models and dictionaries to generate preliminary language tags for each word. Language models, trained on large corpora of individual languages, provide statistical probabilities of word sequences, allowing us to infer the language based on the likelihood of a given word appearing within different linguistic contexts. Simultaneously, we leverage multilingual dictionaries to directly map words to their corresponding languages. Following this initial tagging phase, we incorporate contextual information – surrounding words, sentence structure, and broader discourse patterns – to refine the language identification and improve overall accuracy. This contextual enrichment allows us to resolve ambiguities arising from homographs or words with similar spellings across different languages. For our experiments, we focused on analyzing multilingual online discussions, a domain characterized by rapid code-switching and informal language usage. We demonstrate our approach achieves a remarkable accuracy of 98% on this challenging task. Beyond standard accuracy metrics, we also introduce two new evaluation metrics tailored to the nuances of word-level language identification in code-switched environments, providing a more comprehensive assessment of our system’s performance. This work paves the way for more accurate and insightful analyses of multilingual online communication data, unlocking a deeper understanding of how people interact and express themselves across linguistic boundaries."
D16-1035,"Discourse parsing, particularly in the framework of Rhetorical Structure Theory (RST), aims to uncover the hierarchical organization of text by identifying rhetorical relations between spans of text. This understanding of discourse structure is crucial for various NLP applications, including text summarization, question answering, and machine translation. Despite its importance, RST-style discourse parsing at the document level remains a challenging task. The inherent complexity of natural language, the subtle nuances of rhetorical relations, and the long-range dependencies within a document make it difficult to accurately model discourse structure. Traditional approaches to discourse parsing have relied heavily on hand-crafted features and complex rule-based systems, which are often time-consuming to develop and difficult to generalize across different domains. More recently, deep learning techniques have shown promise in various NLP tasks, but their application to discourse parsing has been relatively limited, particularly in the context of efficient and performant document-level models. Many existing deep learning models struggle to capture the hierarchical nature of discourse and the intricate interactions between spans within a long document. This paper addresses these limitations by introducing a novel attention-based hierarchical neural network model specifically designed for RST-style discourse parsing. Our model leverages the power of attention mechanisms to dynamically focus on relevant spans during the parsing process and captures long-range dependencies more effectively than previous approaches. Furthermore, we incorporate a tensor-based transformation function to explicitly model complex feature interactions, allowing the model to learn more nuanced representations of discourse structure. A key contribution of our work is demonstrating that this approach achieves comparable performance to contemporary state-of-the-art systems while requiring significantly less manual feature engineering. This simplification not only reduces development time and effort but also makes the model more adaptable to new domains and languages. The results of our experiments, conducted on standard RST parsing benchmarks, demonstrate the effectiveness of our proposed model and highlight the potential of attention-based hierarchical neural networks for advancing the field of discourse parsing. We believe that this work represents a significant step towards building more robust and efficient discourse parsers, paving the way for further advancements in various downstream NLP applications. In the following sections, we will detail our model architecture, experimental setup, and results, providing a comprehensive overview of our approach and its contributions. <!--stackedit_data: eyJoaXN0b3J5IjpbLTc1MDQxOTYxLFgzNDU0NTkxMl19 --> <!--stackedit_data: eyJoaXN0b3J5IjpbLTc1MDQxOTYxLFgzNDU0NTkxMl19 --> <!--stackedit_data: eyJoaXN0b3J5IjpbLTc1MDQxOTYxLFgzNDU0NTkxMl19 --> <!--stackedit_data: eyJoaXN0b3J5IjpbLTc1MDQxOTYxLFgzNDU0NTkxMl19 -->"
D09-1002,"Semantic Role Labeling (SRL) is a core task in Natural Language Processing that aims to identify the semantic roles played by different constituents in a sentence with respect to a predicate (verb). For example, in the sentence ""John gave Mary a book,"" SRL would identify ""John"" as the Agent, ""Mary"" as the Recipient, and ""a book"" as the Theme. While significant progress has been made in SRL, a persistent challenge remains: effectively handling unknown lexical items – verbs that were not present in the training data. The performance of SRL systems typically degrades significantly when encountering such verbs, limiting their applicability to real-world scenarios where the vocabulary of natural language is constantly evolving. Traditional approaches often rely on lexicalized models, which directly associate verbs with their corresponding semantic roles. This, however, renders them highly vulnerable to encountering unseen verbs. While sub-word models and contextualized embeddings offer some mitigation, they don't fully address the issue of verbs completely absent from the training vocabulary. The core difficulty lies in the fact that novel verbs often share structural and semantic similarities with known verbs. For instance, a newly coined verb might share the same argument structure as a more established verb, or it could be used in a similar context and express a conceptually related action. Leveraging this inherent similarity between known and unknown verbs is key to developing robust SRL systems. Previous work has explored various strategies for handling unknown verbs, including using WordNet-derived information or relying on syntactic cues. However, these methods often struggle to capture the subtle semantic nuances that differentiate verbs. In this paper, we propose a novel semi-supervised learning approach for SRL that explicitly leverages the structural and semantic similarities between known and unknown verbs. Our central hypothesis is that unknown verbs are likely to exhibit similar syntactic and argument structures to verbs for which we already have labeled data. To capitalize on this, we represent both known and unknown sentences as graphs, where nodes represent constituents (words and phrases) and edges represent syntactic dependencies. We then formulate the problem of finding the most similar known verb as a graph alignment problem, effectively seeking a mapping between the graph of the unknown sentence and the graphs of sentences containing known verbs. The optimization of this alignment is solved using Integer Linear Programming (ILP), a powerful technique for finding optimal solutions in combinatorial optimization problems. This allows us to identify the known verb whose graph is most closely aligned with the graph of the unknown sentence, and subsequently transfer the SRL annotations from that verb to the unknown verb."
