,generated_text
D15-1259,"Social media platforms, such as microblogging sites (e.g., Twitter, Sina Weibo), have evolved today into the major information sources and communication channels for rapidly disseminating news, sharing personal opinions, and engaging in real-time conversations on various topics. In this environment, one indispensable behavior of users is to repost messages, a popular way for spreading information and promoting discussions. Reposting (or retweeting in Twitter and reposting in Weibo), a fundamental interaction that makes the content more accessible and sustainable in the social network, helps noteworthy messages to spread quickly and increases their visibility. Therefore, rebuilding an original repost tree, or repost graph, from a crowd-sourced, iterative process to capture such structures offers a promising means to derive insights into dynamic discussions and trending events. Figure 1 illustrates a typical repost tree structured derived from dozens of social media postings. Messages in the sample tree share a common theme - ""Two fishermen caught 20+ baby sharks."" The tree is composed of eight reposted messages, each belonging to one of three paths, marked by dotted lines in the figure. The original message (marked as ""O""), authored by user @Spinnaker, is the root of the tree, or a 'leader' in our context. We use content-level structures and identified symbols to clarify relationships among these messages. The repost tree structures provide a strong clue on how the discussion of an event develops. However, given the large volume and rapidly-growing number of messages, it becomes challenging for users to quickly grasp the essence or key points of an event while browsing through the details provided in a tree. This highlights the urgent need for effective summarization in microblog replay tree contexts. One could resort to general-purpose summarization techniques optimized for generic text and discourse structures, but these might not be well-suited for the repost tree context due to the nature of the subject matter, content style, and the particular discourse and structural features of social media narratives. For instance, messages in a repost tree, particularly those that retweet the original, often paraphrase or expand on it. Unlike traditional text documents where summary skills focus on capturing abstractive and informative insights, summary for repost trees should ideally reflect the core progression of the entire narrative - the key points that are widely acknowledged and commented on by a large number of users. Such a unique aggregative property for summary in repost trees suggests the importance of distinguishing between repost messages, as they function differently in terms of semantic containment and information propagation within the tree structure."
D18-1290,"Web search queries, especially those with question intent, are seen as distant to typical sentences from standard text. They often contain multiple parts and are possibly interrupted by operators like AND, OR, etc. Consequently, traditional dependency parsers, which are designed to process individual sentences, struggle with these types of queries. In the case of web queries, researchers have identified questions as belonging to a distinct grammar (Cohen and Roark, 2013), ""query grammar"". The basic unit in query grammar is not a single sentence as in dependency syntax, but rather a structure that can be broken down into smaller sub-queries that can still form a coherent meaning in search results. This leads to a parsed structure that resembles a forest (with multiple roots) instead of a tree, hence the term ""forest grammar"". To embrace this non-standard grammar, a line of research among semantic parsing (i.e., parsing with meaning in mind) techniques focused on making specialized transition-based parsers capable of capturing this unique grammar. Such approaches were proposed initially by Roark and colleagues (Roark et al., 2012, 2013). However, these approaches suffer from potential scalability issues because they require resources and sophisticated techniques not readily available outside or even within some web development companies. Our main goal is to develop and train a transition-based parser that is explicitly designed for web query parsing with the query grammar specifically in mind. However, the proposed system benefits from incorporating an in-house trained named entity (NE) tagger to provide additional features for training. This is an entity-based approach, which we believe can improve the parser's capability to handle query's complex structure, especially in dealing with entities which can appear at any level of the query hierarchy and can influence the interpretation of the query. We train our BiLSTM neural transition model using the query dataset annotated with NE tags, where the aim is not the traditional analysis of subject-verb-object relations but understanding the query's intent, which can be structured in varied ways. The rest of this paper proceeds as follows: We first describe a few methods, their advantages, and limitations. Then we explain our proposed approach in detail, including the unique treatment of query grammar and the use of NE information. Next, we present technical details of the model and training. We then evaluate the model on standard parsed query benchmarks, comparing our results to state of the art."
D18-1148,"Social media platforms, such as Twitter, have been recognized as a fertile source of social data. The opportunity to exploit social data for social science research purposes has heightened interest and investment in computational social science. One key application of social data is to generate inferences about aggregate phenomena, including the sentiment of populations. A particular challenge in this area, however, is that most social questions are posed at a geographic level (e.g., What is the level of support for a particular policy in a given city? What is the current level of unemployment in a given state? What are the current attitudes toward a set of employers in a given metropolitan area?) while social media data is often most readily available at an individual level (e.g., tweets from a given user in a given time period) or at the level of accounts (e.g., tweets in a given time period by a bot derived from an account among many others). One common approach in places of study in this area - ""nowcasting"" - has been to aggregate individual-level or account-level information to population/geographic level outcomes (Ginsberg et al., 2009; O'Connor et al., 2010; Provost et al., 2013), with various combinations of data or processes used to tie the data back to a given geographic location. The view from the user-level, however, has not received enough attention. This paper reports on an under-explored idea in the field of computational social science: that substantial predictive benefits can be achieved, not by simply aggregating all individual-level data (e.g., over all users in a geographic area) but rather by examining the language users use to refer to entities or concepts in their geographic area. We call this user-level aggregation of language data and focus on its application to nowcasting through a model analysis approach. Here, we suggest that by aggregating the language used by individuals that identifies different entities or concepts relevant to a community (e.g., ""Houston’s mayor"", ""companies in Silicon Valley"", or ""centers in Montgomery County that serve the homeless""), one can generate stronger predictions compared to traditional nowcasting approaches. Specifically, this paper reports on a number of experiments that combine user-level language data and machine learning algorithms to nowcast a variety of demographic, health, and socioeconomic outcomes at the county level in the United States of America over several years. Our results for four different outcomes (median income, self-reported health, teen birth rate, and life satisfaction) show large and consistent improvements in prediction accuracy over baseline models that simply aggregate all textual data without regard to user."
D16-1070,"Training neural networks with heterogeneous annotations can significantly alleviate the burden of labeling data for NLP tasks. However, these annotations can still pose major challenges to statistical models since they are usually generated under different guidelines and use cases. In the past years, various methods have been developed to tackle the heterogeneous annotations problem. A particular effective approach is discrete, multi-view learning – which is questionspecific – that performs cross-view (domain and/or task) predictions and combines the outputs of multiple views (e.g., tasks and domains) to make better predictions. In practice, such strategies are often combined with multi-task learning for better performance gains even when keeps changing across tasks and domains. However, due to the knowledge constraints and feature engineering, those studies on heterogeneous annotations have been hindered to a certain extent by relying on discrete models. The advent of powerful neural network models with their capability to automatically learn representations is an opportunity to pursue the heterogeneous annotations problem in a less dependent way. In this work, we present an empirical investigation on training a purely neural network model with heterogeneous annotations, which shares the spirit with multi-view learning yet uses an end-to-end, automatic feature representation learning. We compare the proposed model with similar benchmarks on various datasets and tasks. We also explore the potential of incorporating other features and data or even other models. By reporting a series of experimental results, we show that neural networks are capable of handling heterogeneous annotations and can even significantly outperform most discrete models on accuracy and, while adding little computational time. The paper contributes a more generic and flexible way to model heterogeneous annotations, which we can expect to be used in a wide range of NLP tasks involving multiple, diverse annotations. A treebank represents, at a given time, a snapshot in the evolution of a group of annotations under certain guidelines and use cases. We assume that treebank annotations may reveal slight discrepancies across different guidelines and annotations might diverge in fine-level detail. However, the structure that they try to represent — the underlying syntax, semantics, and discourse structure of natural language text — is the same or less different between the measured variables. This structure is a higher level, blurred sense of ""sameness"" that our neural model can automatically leverage. The following describes the methodology used in this paper. We start by presenting the technical details of the neural model for handling heterogeneous annotations."
P14-1008,"Certainly, here is my answer: Introduction Over the past few years, there has been a significant shift in the field of natural language processing (NLP) towards computational semantics, where the meanings of linguistic expressions are modeled computationally. A key frontier in this movement is Dependency-based Compositional Semantics (DCS), a framework developed initially by Palmer and his group (Palmer et al., 2005, 2009, 2010) which has been shown to produce syntactically fract and semantically consistent representations (Baldwin et al., 2003;Pustejovsky et al., 2003;Atwell et al., 2008). Central to the DCS framework are the following concepts: 1. Dependencies: These represent the syntactico-semantic relationships among semantic predicates (i.e., content words), following a dependency grammar formalism. Unlike the well-known phrase-structure tree (PST), where the structure indicates a phrase boundary, dependencies encode a more flexible hierarchical structure, often handling equivalent relations (e.g., subject-object in many languages) as edges rather than subtrees. This allows for more flexible and structure-parsimonal representation. 2. Composition: The DCS framework posits that meaning is compositional, i.e., the meaning of a sentence can be computed from the meaning of its parts and their syntactic arrangement. However, unlike the more classical approaches to compositionality that focus on function application (as in Montague grammar or certain varieties of categorial grammar), DCS's compositionality is based on the interaction (via edges) among semantically interpretable words (predicates in their various roles), often with semantic modifiers (e.g., quantifiers, adjectives). 3. Semantically Interpreted Predicates: The heart of DCS is the ""semantic predicate,"" which combines a content word with a set of semantic roles (Argument Structure or Role Theoretic roles). These roles are then connected to other predicates through dependencies, allowing a sentence's meaning to be matched against base concepts and more complex relationship patterns. Nonetheless, while DCS has demonstrated promising capabilities in representing sentence meaning within a highly structured yet systematic framework, its previous application in semantic NLP tasks has been largely limited to applications such as Question Answering (QA) and Relation Extraction, for which the framework's tendency to generate welldefined, structured outputs can be leveraged (e.g., by aligning semantic roles). This is because these tasks do not typically require the kind of logical reasoning and inference that could be deeply grounded in the very structure of the framework itself. However, the potential for more advanced applications and a deeper integration with logical inference methods has yet to be fully explored."
D18-1347,"Training models on code-switching text poses two major challenges: (1) lack of linguistic signals that indicate which language or script is being used at each point in the text, and (2) deep structural mismatch between code-switched texts and monolingual texts, including the presence of words from multiple languages and scripts (transliteration). In this paper, we propose a model architecture for part-of-speech (POS) tagging in code-switched, transliterated texts that does not require explicit language identification of individual tokens. Instead, we induce word representations (embeddings) for each possible language or script, and jointly maintain and update these representations over time. Through knowledge distillation and contrastive learning, these embeddings learn to represent words in a way that distinguishes their language or script origin, despite sharing similar surface forms. This enables the model to appropriately tag even tokens without explicit language or script information, based on their context and language distribution observed in the training data. Our model begins with individual language or script-specific embeddings which initially share no parameter. It updates these embeddings using a version of knowledge distillation (Hinton et al., 2015) along with contrastive losses to enforce cross-language or script dissimilarity. A core differentiable oracles (Turla et al., 2019) is used to learn from both monolingual examples and potential code-switched text during training, predicting assumed-language labels for each token. After training, the model generalizes to unseen code-switched texts, including those containing transliterated words. We evaluate our model on Hindi-English code-switched POS tagging, where we use transliterated English words written in Devanagari script. Results show that our approach outperforms standard models trained on monolingual data and tested on code-switched data with transliteration. This demonstrates the potential for our model to generalize beyond its training data, and our framework to be applied to other language pairs or code-switching scripts. The success of our model underscores the potential of exploiting language or script level embeddings for semi-supervised learning in code-switching. These embeddings capture abstract properties associated with each language or script that are less dependent on surface form (e.g., affixation patterns for noun endings in Hindi vs. English), enabling code-switching analysis without explicit language identification. Future research could explore integrating these embeddings into more complex NLP tasks such as machine translation or semantic role labeling. Moreover, extending our framework to handle zero-shot performance across multiple language pairs and arbitrary scripts would show its full potential and adaptability."
C14-1012,"Certainly, here is the introduction for the paper on query-by-example image retrieval using visual dependency representations. Introduction The query-by-example (QBE) image retrieval task involves using an example image to search for similar images from a larger corpus (Calonder et al., 2011) and has applications in image search and recommendation systems. A standard way to represent images for QBE is by using bag-of-vectors (BoV) or ""vectors of vectors"" (VVV) where each image is represented as a collection of word-embedding vectors (Wu et al., 2015). While this representation captures global image information, it does not retain any notion of spatial relationships within the image. However, many tasks require such information, such as searching for images where specific actors in an image are involved in an interaction with other objects or entities. For instance, given the query sample of a person playing a guitar, we would expect images that not only contain both persons and guitars but also represent some notion of the interaction (e.g., a person holding a guitar, playing a guitar). Representing the relationships between regions in an image is crucial for such tasks (Verbeek et al., 2001;Weinberger, 2000). To this end, we propose the Visual Dependency Representation (VDR), a structured representation for images focusing on how regions within an image relate to each other beyond simple object co-occurrence. The VDR encodes the interactions within an image, not just the presence or absence of entities. For example, using VDR, an image of a person standing next to a guitar would not necessarily suggest an interaction between the person and guitar unless warranted by additional contextual information, whereas an image of a person playing the guitar would clearly and explicitly reveal the interaction between the human and the musical instrument in the VDR encoding. This is the essence of the proposed VDR; it captures the dependency between entities and objects within an image. By retaining such dependency relationships within images, our hope is to improve upon the bag-of-words, bag-of-vectors, or vector-of-vectors representation. These standard representations are well-suited for tasks where images are identified by the presence or absence of certain features but lack the discriminatory power for subtler notions like interaction. Our hypothesis is that by capturing how objects interact with each other – a critical piece of information for many QBE tasks – we can provide a better basis for image retrieval."
D13-1084,"Language identification at the word level in multilingual communication presents a complex task. In many social online platforms, users can switch between multiple languages within a single message, and such switches occur frequently, especially in conversations between individuals from different linguistic backgrounds. For instance, in a study conducted on the Twitter platform (Boyd, 2010), multilingual questions were reported to be one of the prevalent and distinct behaviors. This phenomenon indicates the need for a word-level language identification system that can handle such complex cases, rather than confining language identification to sentence or document level as is commonly done. Traditional methods of language identification often rely on a document-level perspective due to the limitations of language-specific word units, which are frequently not present in texts produced by low-resource languages, or by speakers with limited proficiency in a given language. This traditional approach is not only insufficient for understanding the semantic context of individual words in a sample of communication but also precludes the extraction of valuable linguistic and sociolinguistic insights from multilingual texts, such as the intentions and identities of speakers (Johnstone and Kiesling, 2008). Our research addresses this gap by focusing on developing a model for word-level language identification for multilingual online communication environments. This problem is challenging not only due to the switches in language but also due to the varying levels of code-switching fluency among multilingual users. A high-accuracy word-level system for this task benefits a range of applications including: 1. Linguistic Analysis: Accurate word-level language identification is key for carrying out stylistic, syntactic, semantic, and sociolinguistic analyses of mixed-language texts, especially in contexts where one or both languages may be marginalized or under-explored. 2. Multilingual Information Access and Retrieval: By accurately identifying the languages present in a document or a query, search engines and information retrieval systems can better index and retrieve multilingual content, including cross-lingual information retrieval or zero-shot translation systems. 3. Machine Translation and Language Learning: An accurate word-level language identification system can facilitate the creation of high-quality parallel corpora for training translation models, improve performance in terminology extraction or lexicon construction, and aid in language learning by providing learners with systematic exposure to concepts in multiple languages. 4. Social Network Analysis: In online communities, language choice can be linked to a variety of social factors such as user identity, group membership, or topic relevance."
D16-1035,"Discourse parsing, which maps text into discourse structure such as Rhetorical Structure Theory's (RST) relations between sentences, is a challenging task in natural language processing (NLP). It is key for downstream applications such as summarization, question answering, and machine translation. Traditional approaches typically rely on hand-crafted features and rule-based systems, while recent work has started to explore machine learning methods and deep learning models (Araujo et al., 2017; Karklin and Haupt, 2017; Tamwong and Samphanich, 2018). Generally, given a sentence, these methods identify its potential discourse relations with its previous sentences, and then select the most probable relation based on the learned features from the text. These features are usually features such as semantic overlaps between sentences, rhetorical function of a sentence, etc. Unsupervised models, on the other hand, need to infer the discourse structure without additional guided information. These models have predominantly used techniques such as information gain or dependency distance to determine potential relations between sentences, as in Ronen et al. (2009) and Das et al. (2017). However, without supervision or structure imposed through other linguistic information, or even without additional implicit inductive biases, these methods struggle to consistently produce high-quality discourse structures. Our work is distinct from these as we propose a shallow neural network specifically designed for this task while adding a novel attention mechanism. Specifically, we use hierarchical neural networks where the lower layers model the sentence features, and upper layers model the higher-level discourse features using attention to selectively focus on features related to specific previous sentences. We show, through empirical testing on multiple datasets and in comparison with state-of-the-art models, that our approach improves discourse parsing performance considerably, especially when compared to models requiring manual feature engineering. Our model is inspired by the success of attention-based models in the NLP community, particularly the work of Bahdanau et al. (2014) who introduced the first effective sequence-to-sequence model with attention in Machine Translation. We apply similar principles of focused information selection to the discourse parsing task. Sentence-level embeddings or representations are first generated using a standard deep neural network architecture. These embeddings then flow through a discriminative task layer, where an attention mechanism learns to weigh the importance of these sentence embeddings with respect to previous sentences. The weights are used to compute a weighted sum of sentence features, which then serve as the input to the next higher layer."
D09-1002,"Certainly, here is the introduction for the paper on Graph Alignment for Semi-Supervised Semantic Role Labeling. Semantic role labeling (SRL) is the task of automatically identifying the roles played by the constituents of a sentence (e.g., who did what to whom). Broad-coverage SRL systems are necessary for a wide range of applications, including Question Answering and machine translation. The potential for these systems, however, is hindered by ""unknown lexical item"" (ULI) problem – i.e., the inability to perform SRL for verbs (and their associated roles) that do not appear in the system’s training set. Existing solutions to the ULI problem primarily rely on ad-hoc rules and heuristics – these are subject to various limitations, such as inability to generalize well to unseen verbs. Sentence-based approaches (e.g. (Gillick et al., 2005), (Das and Smith, 2007)) usually fail on ULIs because they rely on lexical features which are either missing or do not generalize across different items. Thus, handling ULIs requires a more principled approach. In this paper, we propose a semi-supervised approach to tackle the ULI problem in SRL. Our hypothesis is that unknown lexical items will be structurally and semantically similar to known symbols provided some sufficiently broad foundations for symbolization can be established. We represent both known and unknown sentences as graphs. We then formalize the search for the most similar verb over the graph as a graph alignment problem, followed by an optimization using integer linear programming (ILP). First, we describe the current limitations of previous approaches to the ULI problem in SRL and motivate our graph alignment based approach. We then derive our key ideas by examining SRL as a graph-structured problem and by borrowing solutions from the graph alignment domain. Our approach begins with extracting subgraphs from annotated and the unlabeled corpus. The fundamental question we aim to answer is: Which subgraph (verb and arguments) in the labeled corpus is most similar to the subgraph in the unlabeled sentence? The similarity of matched subgraphs informs the assignment of roles to unknown verbs. Different from previous approaches, we do not rely on ad-hoc heuristics or simple co-occurrence statistics but seek a formal and computationally tractable optimization that aligns the graph structures. To determine the most similar subgraph, we make use of some general graph alignment framework. We propose several similarity and relaxation techniques, each attempting to take advantage of the structural and semantic information inherent within the graphs."
