,generated_text
D15-1259,"The rise of microblogging platforms has led to an explosion of user-generated content, making it increasingly difficult for individuals to keep track of events and conversations on these platforms. Microblog repost trees, which represent the reposting relationships between messages, provide a unique perspective on how events evolve and unfold over time. By analyzing these repost trees, we can gain insights into the dynamics of information diffusion, opinion formation, and community engagement. However, the sheer volume of messages and reposts can be overwhelming, making it challenging for users to identify the most important and relevant information. To address this challenge, we propose a novel framework for summarizing microblog repost trees, which aims to capture the main clues of events and provide a concise overview of the conversation. Our approach is based on the observation that microblog repost trees can be characterized by two types of messages: leaders and followers. Leaders are messages that introduce new ideas, opinions, or information, while followers are messages that respond to, comment on, or repost leaders. By identifying leaders and understanding their relationships with followers, we can distill the essence of the conversation and provide a summary of the event. To detect leaders, we employ a Conditional Random Fields (CRF) model, which is a probabilistic framework for modeling sequential data. The CRF model is trained on a set of features that capture the content-level structure of the messages, including the text, user information, and reposting relationships. Once leaders are detected, we use a variant of random-walk-based summarization model to rank and select salient messages. The random walk model simulates the process of navigating the repost tree, where the probability of visiting a message depends on its relevance and importance. By adjusting the random walk with leader probabilities, we can reduce the error propagation cascaded from leader detection and improve the overall quality of the summary. To evaluate our framework, we construct two annotated corpora: one for leader detection and the other for repost tree summarization. The leader detection corpus consists of labeled messages, where each message is annotated as either a leader or a follower. The repost tree summarization corpus consists of annotated summaries, where each summary is evaluated based on its relevance, coherence, and coverage of the event. Our experimental results confirm the effectiveness of our method, which outperforms several state-of-the-art baselines in terms of leader detection and summarization quality."
D18-1290,"The rise of voice assistants and search engines has led to an increased interest in the processing and interpretation of web queries. These queries often manifest a complex syntactic structure, which can be challenging to parse and analyze. The correct interpretation of web queries is crucial for providing accurate search results, answering questions, and completing tasks. In recent years, several studies have focused on developing parsers specifically designed to handle the unique grammar of web queries. One of the key challenges in parsing web queries is their non-standard syntactic structure, which can deviate significantly from the standard dependency grammar used in traditional natural language processing (NLP) tasks. To address this challenge, previous work has proposed semisupervised algorithms for adapting parsers originally designed for standard dependency grammar to parse web queries according to their unique forest grammar. However, these algorithms rely on resources that are typically only available to large web corporations, such as massive query logs and annotated datasets. This limitation makes it difficult for researchers and developers outside of these corporations to develop and improve parsers for web queries. In this paper, we propose a new approach to parsing web queries using a neural transition-based parser that explicitly accounts for the unique grammar of web queries. Our parser utilizes named entity (NE) information from a BiLSTM NE tagger, which can be jointly trained with the parser. This approach allows us to leverage the strengths of both neural networks and transition-based parsing to improve the accuracy and efficiency of web query parsing. One of the key innovations of our approach is the use of NE information to inform the parsing process. Named entities, such as names, locations, and organizations, play a crucial role in web queries, and accurately identifying and categorizing these entities is essential for correct query interpretation. By incorporating NE information into our parser, we can better capture the semantic and syntactic structure of web queries and improve the overall accuracy of our parsing system. To train and evaluate our parser, we annotate the query treebank of [previous work] with named entities. This annotated dataset provides a valuable resource for training and testing our parser, and allows us to compare our results with existing state-of-the-art parsers. Our experiments show that our parser achieves a high level of accuracy, with a unlabeled attachment score (UAS) of 83.5% and a segmentation F1-score of 84.5, substantially outperforming existing parsers."
D18-1148,"The widespread adoption of social media platforms has led to an unprecedented amount of user-generated data, which can be leveraged to gain insights into various aspects of human behavior, demographics, and community outcomes. One area that has garnered significant attention in recent years is nowcasting, which involves using social media data to make predictions about community-level outcomes in near real-time. These outcomes can include demographic characteristics, health metrics, psychological well-being, and economic indicators, among others. The potential benefits of nowcasting are substantial, as it can provide policymakers, researchers, and stakeholders with timely and accurate information to inform decision-making and resource allocation. Despite the promise of nowcasting, there are several challenges associated with using social media data for community-level predictions. One of the primary concerns is the issue of data aggregation, which refers to the process of combining individual data points into a single, representative value for a given community. The most common approach to data aggregation is to simply pool all tweets from a given geographic area, such as a county or city, without regard to the individual users who generated the data. This approach can be problematic, as it assumes that all users contribute equally to the overall signal, which may not be the case. In reality, individual users can exhibit distinct linguistic patterns, preferences, and behaviors, which can affect the overall quality and representativeness of the aggregated data. For instance, some users may be more active or vocal than others, which can skew the results and lead to biased predictions. Furthermore, the standard approach of aggregating all tweets can result in a loss of valuable information about individual-level characteristics and behaviors, which can be essential for making accurate community-level predictions. To address these limitations, this paper proposes a simple yet effective method for building community-level models using Twitter language aggregated by user. The key idea is to aggregate tweets at the user-level, rather than simply pooling all tweets from a given geographic area. This approach allows for the preservation of individual-level information and can help to mitigate the effects of biased or skewed data. By aggregating tweets at the user-level, we can create more representative and robust community-level models that capture the nuances and diversity of individual behaviors and characteristics. The benefits of user-level aggregation are demonstrated through a series of experiments on four different U.S. county-level tasks, spanning demographic, health, and psychological outcomes."
D16-1070,"The increasing availability of large amounts of annotated data has driven the development of statistical models for natural language processing (NLP) tasks, such as part-of-speech tagging, named entity recognition, and syntactic parsing. However, different annotation schemes and standards have been employed in various treebanks, resulting in heterogeneous annotations that pose a significant challenge to the development of robust and accurate statistical models. Prior research has focused on discrete models, leveraging techniques such as stacking and multi-view learning to address this problem. Stacking involves training a meta-model to combine the predictions of multiple base models, each trained on a different treebank, while multi-view learning aims to learn a shared representation that captures the commonalities and differences between multiple views of the data. In this paper, we empirically investigate the use of neural network models for heterogeneous annotations, building a neural network counterpart to discrete stacking and multi-view learning. Neural networks have gained popularity in recent years due to their ability to learn complex patterns in data without the need for manual feature engineering. However, their application to heterogeneous annotations has been limited, and it is unclear whether they can outperform discrete models in this setting. To address this question, we design a series of experiments to compare the performance of neural network models with discrete models on multiple treebanks annotated under heterogeneous standards. We first develop a neural network architecture that can be used as a counterpart to discrete stacking, where multiple neural networks are trained on different treebanks and their predictions are combined using a meta-model. We also develop a neural network architecture that can be used as a counterpart to multi-view learning, where a shared representation is learned across multiple treebanks using a multi-task learning framework. Our experimental results show that neural network models have unique advantages over discrete models when dealing with heterogeneous annotations. Specifically, we find that neural models can achieve better accuracy improvements than discrete models, thanks to their ability to learn complex patterns in data without the need for manual feature engineering. Moreover, we find that neural models can achieve an order of magnitude faster speed compared to discrete models, adding little time cost compared to a neural model trained on a single treebank. This is because neural networks can be trained using parallel computing architectures, such as graphics processing units (GPUs), which can significantly speed up the training process."
P14-1008,"Natural Language Semantics (NLS) is a subfield of natural language processing that deals with the meaning of natural language expressions. It is a crucial component of various NLP applications, such as question answering, text entailment, and sentiment analysis. One of the key challenges in NLS is to develop a framework that can effectively represent the meaning of natural language expressions in a way that is both easy to process and semantically rigorous. Dependency-based Compositional Semantics (DCS) is a framework that addresses this challenge by providing a structured and compositional representation of meaning. DCS represents the meaning of a sentence as a dependency tree, where each node in the tree corresponds to a word or a phrase in the sentence, and the edges between the nodes represent the relationships between them. The denotation of a sentence is then computed by composing the denotations of its sub-expressions, using a set of semantic rules that are defined over the dependency tree. This approach has been shown to be effective in capturing the meaning of natural language expressions, and has been applied to various NLP tasks, such as semantic role labeling, sentiment analysis, and text classification. However, one of the limitations of the DCS framework is that it does not provide a built-in mechanism for logical inference. Logical inference is the process of drawing conclusions from a set of premises, using logical rules and axioms. It is a crucial component of various NLP applications, such as question answering, text entailment, and natural language reasoning. In order to equip the DCS framework with logical inference, we need to define a way to represent the denotations of sentences in a way that is amenable to logical reasoning. In this paper, we propose a solution to this problem by defining abstract denotations as an abstraction of the computing process of denotations in original DCS. Abstract denotations are a way of representing the meaning of a sentence in a way that is independent of the specific computation that is used to derive it. This allows us to define a logical inference engine that can operate on abstract denotations, without having to consider the specifics of the computation that is used to derive them. The inference engine that we propose is based on a set of logical rules and axioms that are defined over the abstract denotations. These rules and axioms are designed to capture the semantic relationships between sentences, such as entailment, contradiction, and equivalence."
D18-1347,"Code-switching, the phenomenon of using more than one language within a single utterance, is a ubiquitous aspect of human communication, particularly in multilingual societies. However, it poses significant challenges for natural language processing (NLP) systems, which are typically designed to operate within a single language paradigm. One of the primary reasons for this is the lack of representative data for training models that can effectively handle code-switched text. Code-switching can occur in various forms, including intra-sentential code-switching, where a speaker switches between languages within a single sentence, and inter-sentential code-switching, where a speaker switches between languages across sentences. Moreover, code-switching often involves transliteration, where words from one language are written in the script of another language. This can lead to significant ambiguity and complexity, making it challenging for NLP systems to accurately identify the language of individual words or phrases. Traditional approaches to handling code-switched text rely on explicit language identification, where the language of each word or phrase is identified before applying NLP tools such as part-of-speech (POS) tagging. However, this approach can be limiting, as it requires large amounts of labeled data for language identification, which may not always be available. In this paper, we propose a novel model architecture that can effectively handle code-switched, transliterated text without requiring explicit language identification. Our approach is based on the idea of maintaining separate word representations for each of the possible languages or scripts involved in the code-switching process. This allows each language or script to contribute to inferences without forcing the model to commit to a specific language. By jointly training on monolingual resources, our model can learn to recognize and represent words from different languages, even when they are written in alternate scripts. The key insight behind our approach is that words from different languages can share similar semantic and syntactic properties, even if they are written in different scripts. For example, the Hindi word ""किताब"" (kitab) and the English word ""book"" both refer to a written or printed work, despite being written in different scripts. By representing words from different languages in a shared semantic space, our model can capture these similarities and make more accurate predictions on code-switched text. Our model architecture consists of two main components: a word representation module and a POS tagging module. The word representation module uses a combination of character-level and word-level embeddings to represent words from different languages."
C14-1012,"Image retrieval is a fundamental problem in computer vision, where the goal is to retrieve images from a large database that are relevant to a given query image. Traditional image retrieval models represent images as bags-of-terms, where each image is described by a set of visual features, such as SIFT or SURF, that are extracted from the image. These features are often quantized into a vocabulary of visual words, and the image is represented as a histogram of the frequency of each visual word. This representation is well-suited to matching images based on the presence or absence of visual features, but it does not capture the spatial relationships between different parts of the image. For some information needs, such as searching for images of people performing actions, it is not enough to simply match images based on the presence or absence of visual features. In these cases, it is important to retain information about how different parts of the image relate to each other. For example, an image of a person holding a tennis racket is different from an image of a person standing next to a tennis racket, even if the same visual features are present in both images. If the underlying representation of an image can distinguish between images where objects only co-occur from images where people are interacting with objects, then it should be possible to improve retrieval performance. In this paper, we propose a new image representation, called Visual Dependency Representations (VDR), that models the spatial relationships between image regions. VDR is a structured image representation that makes it possible to distinguish between object co-occurrence and interaction. We use a dependency parser to extract the relationships between different regions of the image, and represent each image as a graph of region relationships. Each node in the graph corresponds to a region of the image, and the edges between nodes represent the relationships between regions. We evaluate the effectiveness of VDR for query-by-example image retrieval on a dataset of people performing actions. Our experiments show that VDR outperforms a bag-of-terms baseline, with an 8.8% relative increase in Mean Average Precision (MAP) and an 8.6% relative increase in Precision@10. This demonstrates the effectiveness of VDR in capturing the spatial relationships between image regions, and its potential to improve image retrieval performance for information needs that require understanding of image content beyond simple visual feature matching."
D13-1084,"The widespread use of the internet and social media has led to a significant increase in online multilingual communication. Multilingual speakers often switch between languages in their online interactions, a phenomenon known as code-switching. This can be seen in online discussions, where individuals may use multiple languages to express themselves, depending on the context, topic, and audience. Code-switching is a natural and common aspect of human communication, and it has been observed in various forms of online communication, including social media, online forums, and instant messaging. The analysis of large-scale multilingual data requires automatic language identification at the word level. This is a challenging task, as it involves identifying the language of individual words within a text, rather than identifying the dominant language of the text as a whole. Word-level language identification is essential for various applications, such as language translation, sentiment analysis, and information retrieval. In this paper, we present a system for word-level language identification in online multilingual communication. Our approach involves two stages: language tagging and context incorporation. In the first stage, we use language models and dictionaries to tag the language of individual words. Language models are statistical models that predict the probability of a word given its context, while dictionaries provide a list of words and their corresponding languages. By combining these two resources, we can assign a language label to each word in the text. However, language tagging alone may not be sufficient to achieve high accuracy, as it does not take into account the context in which the word is used. For example, a word may have multiple possible languages, and the correct language may depend on the surrounding words. To address this issue, we incorporate context into our system by using a machine learning algorithm that takes into account the language tags of neighboring words. This allows us to capture the sequential dependencies between words and improve the accuracy of our system. We evaluate our system on a large dataset of online multilingual discussions, achieving an accuracy of 98%. This demonstrates the effectiveness of our approach in identifying the language of individual words in online multilingual communication. In addition to word-level accuracy, we propose two new metrics to evaluate this task: language switch accuracy and language sequence accuracy. Language switch accuracy measures the ability of the system to correctly identify language switches, while language sequence accuracy measures the ability of the system to correctly identify the sequence of languages in a text."
D16-1035,"Discourse parsing is a fundamental task in natural language processing (NLP) that involves analyzing the discourse structure of a document, which is essential for understanding the organization and coherence of the text. Rhetorical Structure Theory (RST) is a widely-used framework for discourse parsing, which represents the discourse structure as a hierarchical tree, where each node corresponds to a discourse unit (e.g., a sentence or a clause) and each edge represents the rhetorical relation between two units (e.g., elaboration, contrast, or cause-effect). The goal of RST-style discourse parsing is to automatically identify the discourse units and their corresponding rhetorical relations in a document. Despite its importance, discourse parsing remains a challenging task, especially at the document level. The main difficulties arise from the fact that discourse structures can be complex and nuanced, and the relationships between discourse units can be implicit or context-dependent. Moreover, the lack of large-scale annotated datasets and the limited availability of efficient deep learning models for discourse parsing have hindered the progress in this area. In recent years, deep learning techniques have achieved significant success in various NLP tasks, including sentence parsing, semantic role labeling, and machine translation. However, the application of deep learning models to discourse parsing has been limited, and most existing approaches rely on traditional machine learning methods or manual feature engineering. The few deep learning models that have been proposed for discourse parsing are often based on simple recurrent neural networks (RNNs) or convolutional neural networks (CNNs), which may not be sufficient to capture the complex hierarchical structure of discourse. To address these challenges, we propose an attention-based hierarchical neural network model for discourse parsing. Our model consists of two main components: a hierarchical encoder and a attention-based decoder. The hierarchical encoder uses a combination of RNNs and CNNs to extract features from the input text at different levels of granularity, from individual words to sentences and discourse units. The attention-based decoder then uses these features to predict the discourse structure, including the identification of discourse units and their corresponding rhetorical relations. One of the key innovations of our model is the use of tensor-based transformation functions to model complicated feature interactions. This allows our model to capture complex relationships between different features and to make more accurate predictions. We also incorporate attention mechanisms to focus on the most relevant parts of the input text when making predictions, which helps to improve the accuracy and efficiency of our model."
D09-1002,"Semantic Role Labeling (SRL) is a crucial task in Natural Language Processing (NLP) that involves identifying the roles played by entities in a sentence, such as ""Who"" did ""What"" to ""Whom"". For example, in the sentence ""The cat chased the mouse"", the cat plays the role of ""Agent"" and the mouse plays the role of ""Patient"". SRL has many applications in areas like question answering, information extraction, and machine translation. However, one of the major challenges in developing broad-coverage SRL systems is the presence of unknown lexical items, also known as out-of-vocabulary (OOV) words. These are words that are not seen during training and therefore, the system is not able to assign semantic roles to them. The problem of unknown lexical items is particularly significant in SRL because the meaning of a sentence is highly dependent on the meaning of the verb, which is the central element of the sentence. If the verb is unknown, it is difficult to determine the roles played by the other entities in the sentence. Traditional supervised learning approaches to SRL, which rely on large amounts of annotated training data, are not effective in handling unknown lexical items. This is because the annotated data may not cover all possible verbs and their corresponding roles. To address this problem, we propose a semi-supervised learning approach that acquires training instances for unseen verbs from an unlabeled corpus. The key idea behind our approach is that unknown lexical items will be structurally and semantically similar to known items for which annotations are available. We represent known and unknown sentences as graphs, where the nodes in the graph correspond to the words in the sentence and the edges correspond to the dependencies between the words. We then formalize the search for the most similar verb as a graph alignment problem, where we try to find the best alignment between the graph of the unknown sentence and the graphs of the known sentences. Graph alignment is a well-known problem in computer science, which involves finding the best mapping between two graphs. In our case, the graph alignment problem can be formulated as follows: given two graphs, G1 and G2, find the mapping between the nodes of G1 and G2 that maximizes the similarity between the two graphs. The similarity between two graphs can be measured using various metrics, such as the number of common nodes and edges, or the similarity between the node and edge labels."
