,headline,title,text,text_word_count
160172,"Purchase an appropriate kettle or pot., Sanitize your equipment., Purchase quality water., Sit your powdered yeast out for several hours., Boil your water., Pour the water into a fermenter and allow it to cool., Boil an equal amount of water and add your malt extract., Use a spoon to scrape the bottom of the pot., Add the cooled water from the fermenter to the pot., Look for foam on the surface of your water., Add your hops., Wait 30 minutes and add more hops., Transfer the pot/kettle into an ice and water-filled sink., Take the temperature of the wort., Use a copper wort chiller.",How to Boil Wort,"Depending on the scale you want to boil wort and the amount of money you have, you’ll have to pick an appropriate kettle. While many different types of kettles are good for boiling wort, some are much more efficient and will produce a better-quality product. Some kettles include: Traditional copper kettles. While this type of kettle isn’t the most efficient, it is relatively cheap and easy to use. Kettles with external heating jackets. These kettles apply heat from the exterior of the kettle and are much more efficient than copper kettles. Kettles with internal heating systems. These kettles will apply heat from within, and are one of the most efficient ways to boil wort.;, Make sure to properly clean all your equipment before you begin the process of boiling wort. You can do this by boiling everything you intend to use. This is important, as any bacteria could contaminate your wort and ruin your final product., When it comes time to boiling your wort, you’ll want to use good water. You can use bottled water, distilled water, or spring water. Ultimately, though, you’ll want water that has low chemical traces and has a smooth and sweet taste., If you plan to add yeast during the boil, let it sit on the counter for a couple hours. This will bring it to room temperature. By warming your yeast to room temperature, you’ll make sure it is more easily absorbed into your boiling water.This is an optional step., Depending on your recipe, you’ll need to boil a certain amount of water. Start off by filling your kettle with your water and turning it up to a boil. This first batch of water will be half of the total water you’ll need to boil., After your water has boiled, pour it into a fermenter and allow it to sit and cool. You’ll be using this water to dilute other water and malt extract later., Boil the same amount of water as you did before. Once it comes to a boil, remove it from the heat. Then, add your malt extract. Stir the water and malt extract until the extract has completely dissolved – there should be no clumps left., Stir up any malt that has collected at the bottom. This will make sure you don’t burn any malt extract. Burnt malt could ruin the taste of your final product.,",782
10781,"Pay attention to what they're really saying and doing., Don't show fear or vulnerability., If you're facing a crazy person, especially someone who's been in and out of therapy, you can sometimes talk them down by staying calm and listening to what they have to say - and responding like a therapist., Make them think you're not worth it by saying something like, ""Look, we already know that you would obviously win..."" etc., Answer anything they say politely without insults., Try not to anger them to come at you., If it's a personal fight over something that has happened - they are jealous because someone they are attracted to, likes you more, or something you own that they wish they had, or if they feel betrayed, or if you did betray them in some way like gossip, then try conflict resolution., Make sure you know what they want to do with you., Don't escalate it by getting back at them., Do not attack first., Take physical threats seriously.",How to Talk People Out of Fighting With You,"This is not a time for denial. ""This can't be happening"" is a good way to get yourself beaten to a pulp, it's the reaction they're looking for. If you know the person, you probably understand the motive behind what they're doing.;, People are less likely to attack confident others, bullies go after people who are already fearful. If you tend toward fearfulness or insecurity, face that as its own problem and work on building your inner strength. Learn to set your fears or grief aside in a crisis and become calm - not angry, calm. This puts you in control of the situation. It will also help, if you try to build your strength. Remember that bullies look for victims, not opponents., Keep it focused on their feelings and let them vent their feelings. Try to sound as if you do care about their mental health and want to help them deal with their problems. Don't say anything defensive to any accusations they make. Turn it back toward them with questions like ""How did that make you feel?"" It will trigger a habit of their dumping their feelings and you may spend half an hour being yelled at and bawled on, but this is a lot better than getting attacked by a crazy person. Try to steer the conversation toward other things that bug them besides whatever it is about you, to keep the role of ""helpful peer, crying shoulder."" Once that ""therapy mode"" is established, you can start to introduce doubt into their accusations toward you with questions like ""Did you consider whether someone was lying about me to you?"" Be careful with this because if you do it even once in a situation where you'll run into the crazy person again, they may attach to you and try to get you to do it again. Learn to set boundaries and suggest counseling to them if they keep seeking you out. They not only need it, they're ready for it if they're doing this., That's one type of submissive response - and it can backfire. You have many options. Understand your opponent's motives and know which one to deliver. Some bullies just want that immediate verbal submission to the threat, will shove you a bit and move on - you know this by watching them. Others, that's what eggs them on.",780
208943,"Recognize how each episode began., Recognize how the game was played., Be able to describe what happened in a Red Light Challenge question., Be able to describe what players won at the very end of the game., Understand what forms of ""help"" were available to contestants., Describe the end game., Recognize that multiple contestants would play during one episode., Know what vehicle the show used., Describe the show's logo., Look for information about the hosts for this show., Research its airing schedule., Describe the spin-off shows.",How to Become a Fan of the Cash Cab TV Game Show,"Each episode began more or less the same way, but with slight tweaks in wording for different series. At first, the camera showed the host standing on the outside of his minivan taxi on a New York City street, facing the Statue of Liberty. He then gave an explanation of the show/game along the lines of: ""There are thirteen thousand cabs in New York City... but there's only one that pays you. Climb into the Cash Cab, and I'll quiz you all the way to your destination. As the meter clicks, the questions get harder, and the stakes get higher. If you get stumped, you can Shout-Out for help on the phone, or off the street. But be careful, because in the Cash Cab, it's three strikes and you're out! So what do you say? You in?"" Then the camera cut away and the screen showed several static images of the host and the streets of New York City. The logo appeared at the end of the theme song, and then faded. You saw a team of players get into the taxi van (generally anywhere from 2-4 players). The contestants started off unaware that they're in the ""Cash Cab,"" so much like for any other taxi ride, you'd hear one of them telling the driver their destination. The lights above the players head would begin to flash, as the host told them, ""You guys are in the Cash Cab - the TV game show that takes place right here in my taxi. What do you say - Do you want to play?"" When they agreed, you'd see the taxi begin moving around the streets of the city with the host behind the wheel. Once players got in and told the host where they'd like to go, but before the lights began flashing, they were briefed on the rules of the game. However, this part wasn't shown on television.;, Generally, players were asked a series of questions throughout their journey. If they got stumped, there were a variety of things they could get help, as discussed later. If the team got the answer right, great! If the team got the answer incorrect, the team would get a strike. Three strikes and the team would have to forfeit - and would have to get out of the cab. All of these questions required only one answer, and they covered all kinds of topics.",1517
113683,"Notice if this person blushes or gets nervous around you., Convince this person that your interest is genuine., Tell them something about yourself., Ask questions., The person may or may not catch hints, depending on how well they read social cues., Listen and take what they say seriously., Pay close attention to facial expressions and body language., Always be available for the person., Use compassion., Call an amnesty.",How to Date an Introvert,"A shy person who doesn't tend to read social cues easily (as these two are not the same) is sometimes just as unable to receive advances as they are to make them, and their nerves will tell on them in one way or another.;, One good conversation won't be enough to earn their trust. You may find that after having a great interaction, the person will seemingly avoid you. They might be testing your interest, or might not be sure of what to do. Unless you see a really persistent negative trend, just continue to make slow, respectful advances., Just be friendly and calm. Speak in a low tone, as if you only intend for them to hear the story. Giving them a little information about you might make them less nervous about sharing information about themselves - a ""you show me yours and I'll show you mine"" sort of deal., Avoid questions with ""yes"" or ""no"" answers; try to get the person to talk a little. The reaction will vary, depending on the person. Some introverted, shy, or otherwise distant people are animated with people that they know, while others are consistently aloof., This is possible with both introverts and extroverts., Even if it seems like a half-hearted or thoughtless statement, this is often just a shyness or uneasiness in attempting to express what they actually feel. It's selfish to see their awkwardness at revealing feelings as a barrier; you care about this person, so make the effort instead of placing up your own barrier by turning that person into a challenge., Introverts will not always say what they are thinking. You have to be especially observant in order to figure out what they are thinking. For example, a small, coy smile is a positive indicator. A small, forced smile could be a sign to back off a bit., It can take a lot of courage for an introvert to approach someone they like, and the opportunity might not come again for a while, or at all-- be there or be square!, Realize when you are getting frustrated or projecting your own assumptions onto an introvert. Try to recognize your frustration as a reaction within yourself without judgement and convert that energy into compassion for the individual and their unique experience of this world., Realize we are all human with complex and unique communication styles. We can not communicate or understand each other perfectly 100% of the time.",437
12916,"Understand the benefits of compassion practice., Imagine a loved one in trouble., Focus on what you have in common with others., Think about what kindness could do for people., Put it to practice.",How to Be a Kind Person2,"Studies have shown that you can train yourself to feel compassion for those around you through practice. Compassion practice is a kind of training that will help you better empathize with the people in your life, making kindness an easier endeavor.Compassion practice is made up of mental exercises that you should try to do on a daily basis. Studies have shown that compassion practice can reduce the hormones in your brain associated with stress., Spend a few minutes of your day imagining someone you care about needing help. Focus on the way they would feel and try to envision their stresses and concerns. Create a complex scenario in your mind and imagine their difficulties in as much detail as you can.This exercise will help you to appreciate the difficulties the people you love go through. Developing an understanding of your loved one’s struggles will help you develop empathy toward others. You can also use this exercise to help you develop more compassion towards yourself. For example, after thinking about how you would treat a friend who was suffering or struggling with something, consider how you treat yourself when you are suffering or struggling. Are you kind to yourself? Do you show yourself compassion? Or do you refuse to acknowledge when you are struggling or suffering? If you treat yourself harshly, then consider the reasons why. What might change if you were kind to yourself?, Take some time out of your day to focus on the things you have in common with the people around you. Think of the emotions they are experiencing or have experienced and add the phrase, “just like me” to the end of each. Try saying some of the following statements to yourself throughout your day:“This person just wants to be happy... just like me.” “This person is trying to avoid suffering in his or her life... just like me.” “This person has been down, sad and depressed at times... just like me.”, Establishing empathy for others and finding what you have in common are just the beginning. Now, as you imagine the suffering of people that you know are ultimately a lot like you, think about what it would mean to you if someone were to go out of their way to be kind to you in the same position.Think about how much it would mean just to know someone was hoping things would get better for you.",534
118321,"Attend a recovery meeting prior to the wedding., Invite a sober date., Take care of yourself., Think about potential outcomes., Let someone know you’re sober., Have somebody “on call.” Ask a sober buddy of yours to be available for support while you’re at the wedding.This way, you know that there’s someone always available to talk to in case you start to feel uneasy or tempted., Create an exit plan.Know how you will leave the wedding when the time comes., Avoid bringing cash with you., Dance and do activities., Keep a drink in your hand., Engage with other sober people., Have a response for your sobriety.",How to Stay Sober at Weddings As a Recovering Alcoholic,"Attending a meeting or support group immediately before the wedding can help you voice any concerns you have about the event.You can ask for advice on how other people have handled social events like weddings. Ask for support and encouragement from your group. You may also want to attend a meeting immediately after the wedding to check in, especially if the experience was a bit shaky.;, If you can bring a friend or date with you, take someone who is willing to be sober throughout the event. Having someone who also is not drinking can make you feel more comfortable. You can support each other in having fun while sober.Having a sober person with you can help you stay accountable and bring you sober companionship., Before attending the wedding, make sure all of your basic needs are met. Get a good night’s sleep, eat healthy and nutritious foods, exercise, and spend time with loved ones.Take care of your emotions, too. If you’re feeling on edge, don’t meet up with people you know may cause a stir. Consider taking some time for yourself to mentally and emotionally prepare yourself for the event. Also, make sure you have something to wear to the wedding that helps you feel confident, like a new dress or your favorite suit. Groom yourself nicely so that you're at your most comfortable and not feeling insecure., If you’re worried you might slip up, think about the consequences of that decision beforehand.If you drank, how would you feel the next day? You might stay or do something to seriously embarrass yourself or the bride or groom. Think about the consequences of drinking before you attend the wedding and opt not to endure harmful consequences. After you’ve thought about negative consequences, think about positive consequences of not drinking. Try to visualize yourself having a great time while sober and making fun memories. How do you feel the next day? What memories can you reflect on?, When you’re at the wedding, communicate your sobriety or desire not to drink to someone. This might be a friend, table guest, or the bartender.Letting the bartender know can help to create an alliance between you so that they know not to serve you alcohol. Having someone know of your sobriety can help you stay accountable at the wedding. This person can also support you if you start to question your decision., Arrange with someone prior to the wedding to be your “on call” person.",891
138762,"Show hidden files and folders., Unhide extensions., Go to Outlook data folder., Close Microsoft Outlook., Select PST files., Store PST files., Install Microsoft Outlook., Show hidden files and folders., Go to Outlook data folder., Close Microsoft Outlook., Copy and paste PST files., Open Outlook., Go to Account Settings., Go to Data Files., Add data file., Load other data files., Set default data file., Close Account Settings.",How to Move Outlook Data to a New Computer,"From your old computer, you need to get your Outlook data files. These files are stored under a hidden folder inside your Windows folder directory. You need to show these hidden folders first so you will be able to see them. From any open folder on your desktop, go to Folder Options. Under the Folder Options, select the View tab. Under the Hidden files and folders in the Advanced settings section, tick “Show hidden files, folders, and drives.”;, On the same Advanced settings section, remove the tick for “Hide extensions for known file types.” The Outlook data files you’re looking for have file extensions of.pst. The file extensions need to be visible for you to easily identify them., Once the hidden folders are visible and the file extensions are shown, you can now start looking for the Outlook data files. These data files contain your email, calendar, and contacts from Outlook. If you created some personal folder, mailbox, or archive within Outlook, you may have more than one.pst file. The directory where the Outlook data files are located is under “%USERNAME%\Local Settings\Application Data\Microsoft\Outlook” or something with a similar structure; open this folder., Before you copy anything, you have to close Microsoft Outlook first. This will ensure the data you’re getting is the most updated one. If Outlook is still open when you do your copy, the files may not have the most recent data on them., From the Outlook data folder, filter the files and select only the ones with.pst file extension. You only need the ones with your data on them. This means that the files will have quite a large size. If you see.pst files with 265 KB only, you may leave them as they’re empty., Once you’ve selected the needed.pst files, copy them to an external storage device, such as a USB drive., If you haven’t installed Microsoft Outlook on your new computer yet, do it now., On the new computer, you need to put your Outlook data files inside the default Outlook directory for your user files. Same as from the old computer, this directory is hidden. You need to show these hidden folders first before you put anything in them. From any open folder on your desktop, go to Folder Options. Under the Folder Options, select the View tab. Under the hidden files and folders in the Advanced settings section, tick “Show hidden files, folders, and drives”., Same as from the old computer, the data files used by Outlook is stored under your user’s documents.",803
78353,"Choose a specialty., Complete a degree or certification program., Complete an internship or work-study program., Check state requirements for employment., Obtain a license., Find the right position for you., Contact your professional references., Bring attention to your supplemental skills., Familiarize yourself with the company., Know what you're dealing with., Accept that your role is to assist., Prepare and process specimens., Maintain lab space and equipment., Perform administrative duties., Be willing to learn from those with more experience., Optimize your promotion potential.",How to Become a Lab Assistant,"Because there are a variety of fields in which lab assistants may find work, the first thing you should do is to select the area that is most appealing to you. This will help you prepare properly, as described in subsequent steps in this section. Although you are not necessarily limited to one field as a lab assistant, your chances of being hired are greater if you have the appropriate background for a given position. Here are a few examples of your options: Medical sample testing. Lab assistants in this field usually work in hospitals or medical clinics, but can also find work with private companies to which physicians outsource their sample testing needs. A strong biology background would be helpful in this type of position. Biological tissue analysis. Work in this field may involve preserving and testing tissue samples, harvesting tissue, and/or performing dissections. A background in anatomy or physiology with additional general biology training is likely necessary to perform this type of work. Geological sample analysis. Some labs (often run by government agencies) are dedicated to the analysis of rock and soil samples. These labs usually operate with the goal of analyzing geological materials for evidence of pollutants or other abnormalities. These positions likely require some background in geology and/or geochemistry.;, Most lab assistant positions will have basic educational requirements you will have to meet before being considered. Some positions may not require a college degree, but virtually all require a high school diploma or GED (at a minimum). You may also need a special certification to get hired.Browse job listings for lab assistant positions, even if you aren't ready to apply. Take note of the common degree and background requirements for jobs in your field of interest. This will let you know whether you need to complete some form of training or education before applying. Look for relevant courses at your local community college. If you do not have a college degree but need to have education in certain topics in order to be competitive for the positions in which you're interested, you might be able to find relevant classes that you can take without being enrolled full-time. Find a certification programs through local community or technical college. If your desired position is in a clinical lab, you will almost certainly need to be certified in order to be hired. These programs focus on medical sample acquisition and testing and may include training in phlebotomy, urinalysis, medical terminology, and/or laboratory standards (among other areas).",2428
162484,"Set your closing appointment., Ensure that you have the necessary closing costs., Collect and review all relevant closing documents., Attend your closing meeting with the closing officer, lender representative and your attorney or Realtor., Complete the closing process.",How to Prepare for a Closing3,"Once you have satisfied all of your loan agreement requirements, and have determined that no issues with the property exist, you are now ready for your closing appointment. A closing appointment is handled by a closing agent, which is a third party recommended by the real estate agent or lender, who verifies all closing documentation and ensures that all payments are received by the relevant parties. Contact the closing agent directly in order to schedule a closing appointment.The closing agent will schedule the closing appointment with the buyer and seller. However, keep in mind that these appointments are usually separate. The buyer and seller will not usually sign paperwork during the same appointment. The lender will ensure that the closing documents are delivered to the closing agent., Since closing costs are calculated to the exact date of the closing, you will not know the final closing amount until you have set your closing appointment date. Your mortgage lender will have provided you with an estimate of closing costs to use as a guideline, although that amount can fluctuate. In general, closing costs are about 3 to 5 percent of the total loan amount. In certain situations, a seller may be willing to pay some or all of the closing costs if it is negotiated in the contract.You should ensure that you have the required funds available in your account as of the closing date. Most banks will place a hold on checks deposited into an account before they are available, so make sure to complete any necessary deposits into your account before the closing date. On the closing date, you will likely need cashier’s checks for the payments that need to be made at closing. Your real estate agent will let you know the exact amounts of the checks. The escrow officer will contact the buyer with the amount via the final settlement statement along with any wiring instructions. The money should be at the escrow office one day prior to closing and all of the documents need to be signed at least one day prior to closing. If the documents are not signed until later in the afternoon on closing day, there will not be enough time to close that day. Any last minute and relatively small costs that may arise at the closing can usually be handled with a personal check., Review the mortgage loan agreement and the mortgage note for potential discrepancies and errors.",799
29211,"Select a polish shade that flatters your skin tone., Pick the right finish., Think about incorporating designs., Clean your nails., Shape your nails., Push back any excess cuticle around the nail., Apply a base coat., Roll the polish bottle between your hands., Get a good size bead of polish on the brush., Paint the polish on each nail in three stripes., Allow the polish to dry for a few minutes., Clean up any mistakes with nail polish remover., Apply additional coats of polish if necessary., Finish off your nails with a top coat., Dip your nails in cold water., Stay out of the shower right after applying polish., Avoid polishing your nails before you go to sleep., Wear rubber gloves for household chores.",How to Make Your Nail Polish Look Great,"The first step in perfecting your nail polish is choosing the right shade. You want to use a color that complements your skin tone, so the polish flatters your overall appearance.For fair and light skin tones, sheer pink nude, classic blue-toned red, bright pink, cool dusty rose, lavender, and navy are pretty options. For medium skin tones, beige nude, orange red, peachy pink, sky blue, and deep grape are attractive shades. For dark skin tones, sheer beige or cream nude, deep wine or crimson, bright fuschia, dark berry, and cobalt are flattering polish colors.;, Nail polish comes in a variety of finishes, including creme, metallic, matte, and glitter. Some finishes will draw more attention to your polish than others, so consider the type of statement that you want to make with your manicure.Creme nail polish is usually the standard option. It provides solid, shiny color that is ideal for both formal and casual occasions. Metallic nail polish has a rich, shiny finish that resembles metal. It can be very striking, but metallic polishes have a tendency to streak so take your time when applying them. Matte nail polish offers no shine, so the color has a natural appearance. It can be very chic, but also provides a low-key look that is ideal if you don’t want your polish to stand out too much. Glitter nail polish provides large, eye-catching chunks of glitter than are usually suspended in a clear base. It offers an extremely striking look and can be layered over colored polish for a bolder look. The drawback to glitter polish, however, is that it can be extremely difficult to remove., While you can simply paint the polish over your nails as a solid color, you may want to add some flair to your look. Consider adding polka dots, stripes, or other patterns to your nails. You can also use nail gems and rhinestones to add some bling to your manicure. You can add a pattern to all of your nails or to just a select few, such as the ring finger on each hand. Nail polish pens often make it easier to add dots, stripes, and other designs to your nails. You can find them in a variety of shades to match any look. To add polka dots to your nails, it helps to have a dotting tool that you dip in polish and press onto your nails.",1785
