doc_id,document,summary,document_word_count
34269314,"It has long been one of the world's biggest killers so what has changed and is eradication now a possibility? Malaria is caused by a parasite called plasmodium which initially hides in the liver before going into the bloodstream and infecting the red blood cells which carry oxygen around the body. The parasites breed and burst out of red blood cells every 48 to 72 hours and each eruption of parasites is accompanied by a bout of fever, chills and sweating. The parasites are spread from person to person by mosquitoes when they drink blood. A single bite from the high-pitched whining insects is all it can take to become infected. In 2000, there were 262 million cases of malaria infection and 839,000 people died. The latest report by the World Health Organization and Unicef said malaria death rates had fallen by 60% and the cases had fallen by 37%. They estimate that 6.2 million lives have been saved, with the vast majority being children. In Africa, it is estimated that 700 million cases of malaria have been prevented since 2000 and it is no longer the biggest cause of death on the continent. Efforts to control malaria focus on preventing people being bitten by mosquitoes and treating them once they have malaria. In Africa: Two thirds of at-risk children around the world are now sleeping under insecticide treated nets. Two forms of resistance are threatening to undo the progress made. In South East Asia, the malaria parasite is able to shrug off the effects of the drug artemisinin. The drug is supposed to be used in combination with other drugs to prevent resistance however there are concerns about how the drug is being used. Artemisinin resistance has been spreading and is now on the verge of entering India and experts have described that as both ""alarming"" and an ""enormous threat"". Meanwhile, some mosquitoes are becoming resistant to the drugs used to coat the bed nets. There has already been great progress in tackling malaria with the disease being driven out of Europe, North America, the Caribbean and parts of Asia and South-Central America. The WHO says 13 countries that had malaria in 2000 no longer have any cases of the disease and a further six reported fewer than 10 cases. It shows the disease can be eliminated from countries and potentially could be eradicated completely. However, sub-Saharan Africa remains the epicentre of the disease and there are still hundreds of thousands of cases on the continent each year.",The World Health Organization is reporting a huge fall in the number of cases of malaria.,438
28837402,"The organisation behind the report says it is difficult for the public to judge the safety of private hospitals. Private hospitals now receive 28% of their income from treating NHS patients. Independent hospitals say they are working hard to provide better data. Private hospitals are required to report all serious incidents to regulators at the CQC and Monitor, and additionally to commissioners if NHS-funded patients are involved. But it is not possible to compare data side-by-side from NHS and private hospitals for death rates or complications such as infections. A think tank scrutinising the role of markets and competition in the NHS, the Centre for Health and the Public Interest (CHPI), says figures obtained from the Care Quality Commission (CQC) show just over 800 patients died unexpectedly in private hospitals in England between October 2010 and April 2014 - and there were more than 900 serious injuries. The report says: ""It is not possible to state whether these rates of death and serious injury are significant, as we do not know in which hospitals they occurred, the health status of the patients concerned, nor the types of treatments that were being provided. ""It is also not possible to state whether the rates are unusually high or to be expected."" Private hospitals' representatives say those figures need to be examined against comparable NHS data. The report also says there were 2,622 emergency admissions to the NHS from the private sector in 2012-13. CHPI is calling on the government to review the nature and costs of these admissions. Report co-author, Prof Colin Leys, said: ""The public and regulators have access to more information than ever before about how NHS services are performing but the same cannot be said for private hospitals. ""The government has recognised the crucial role of transparency in making hospitals safer, but reporting requirements should apply wherever patients are treated. This is too important to be left to the industry to address. ""This is a question of accountability. It's a basic necessity for all hospitals to report the same data."" The report recommends that private hospitals report on their performance in the same way as NHS providers - with data such as infection rates made available on the NHS Choices website, and monitored by the Health and Social Care Information Centre. Peter Walsh, chief executive of Action Against Medical Accidents, said: ""This report confirms it is time for the same level of scrutiny, regulation and protection of patients' safety and rights to be afforded to private patients as is now being done for NHS patients.","Private hospitals should release the same levels of data about patient safety incidents as NHS providers, a report says.",618
34560125,"SNP minister Roseanna Cunningham told her party's conference that the plans would undermine industrial relations. Her plea followed condemnation of the bill by Grahame Smith, the General Secretary of the Scottish TUC. Mr Smith was the first leader of the Scottish Trade Unions Congress (STUC) to address an SNP conference. The UK government wants to impose a minimum 50% turnout in strike ballots - with public sector strikes also requiring the backing of at least 40% of those eligible to vote. Under current rules, strikes can be called if the majority of those taking part in a ballot vote in favour. The Trade Union Bill, which would apply to unions in England, Wales and Scotland, will also: Ms Cunningham told the delegates gathered in Aberdeen: ""It is our view that all the measures within the bill in combination will affect employees' right to strike, change the relationship between unions and organisations negatively, and lead to greater confusion amongst employees. ""This directly impacts across Scottish business and especially our devolved public services in Scotland. I believe this is not a constructive platform upon which we can pursue our ambitions for Scottish workers."" She added that she had considered the proposals ""very carefully"" and believed the only solution was to ""ask that Scotland is excluded from the entire bill"". There were rumblings about the trade union bill at the SNP conference even before Roseanna Cunningham spoke out this morning. At a Scottish Police Federation fringe event, Michael Matheson MSP batted away questions about whether he would block the bill in Scotland if he could. The justice secretary said it would be a matter for the SNP to decide on as a party, but with a resolution on the agenda which described the bill as an ""ideological attack"", the position was fairly clear from the outset. This was underlined when Scottish Trades Union Congress secretary Grahame Smith was given a rapturous reception by delegates as he took to the stage to slam the bill. As well as striking popular chords by railing against the Conservatives in Westminster, he used his speech to urge the huge crowd of activists to join up with trade unions. This will be worrying for Labour, traditionally the party of the unions, which will need their support as it looks for a way to overcome the SNP's continuing dominance and win back Scottish voters at next May's Holyrood election.",The Scottish government has made an official request for Scotland to be excluded from the UK government's bill proposing curbs on trade union powers.,567
38940155,"Timm Klose's error gifted Albion the lead as Lasse Vigen Christensen nicked possession and squared for fellow Fulham loanee Cauley Woodrow to tap in. City levelled when Steven Whittaker's wild shot deflected in off Cameron Jerome for his 11th goal of the season. But Kightly grabbed a stylish winner, flicking the ball past Russell Martin before lifting a shot over John Ruddy. Norwich came into the game on a six-game unbeaten league run, but were let down again by their poor away record. The Canaries have lost nine times away from Carrow Road in the league this season, only Forest and Rotherham having conceded more Championship goals on the road. Both Burton goals came against the run of play, but the hosts could have won by a greater margin, with Lloyd Dyer blasting over and Martin clearing as Jackson Irvine prepared to pounce. Nigel Clough's side, who have conceded in 16 consecutive league matches, protested strongly against City's sole goal, claiming Jerome had handled. Yet the Canaries, who had 64% possession in an often scrappy game, felt they should have had a stoppage-time penalty when Wes Hoolahan was bundled over. Burton's third win in five league matches lifted them to 20th, four points clear of the bottom three, while Norwich slipped to seven points off the play-off places in seventh. Burton manager Nigel Clough: ""That's right up there with our best results this season, especially in the context of where we find ourselves in the league playing against a very good side as we did today. ""It was just about pure hard work and the desire to stop the opposition playing. The two goals are great quality from our point of view, especially the second one. ""It was the work-rate today that did it and I thought that was outstanding. There was a real desire at the end to see it through and get the three points."" Norwich boss Alex Neil: ""It's hugely disappointing. We got into good areas at times, but the final ball wasn't good enough when we got it in there. ""We had most of the game and Burton's centre-forward (Cauley Woodrow) gets man-of-the-match. ""When we scored we looked as if we are going to go on and win the game. ""We gave the ball away in a stupid area from our own throw-in and then didn't defend well enough.""",Michael Kightly's third goal in as many games earned Championship strugglers Burton a crucial victory over Norwich.,932
35883054,"Nicola Sturgeon was speaking during the final first minister's questions before the election. Labour leader Kezia Dugdale had accused her of refusing to ""reverse George Osborne's tax cuts for the very rich"". And Liberal Democrat leader Willie Rennie said Ms Sturgeon's ""big idea"" on tax was to do ""literally nothing"". Tory leader Ruth Davidson used the session to criticise the Scottish government's named person scheme. The Scottish Parliament is due to be given wider powers over income tax rates and bands from 1 April of next year. Ms Sturgeon confirmed on Tuesday that the SNP would not adopt UK government plans to raise the starting point at which workers pay the 40p income tax rate from about £43,000 to £45,000 next year. And she said the basic rate of 20p would be frozen for the full five years of the next Scottish Parliament term, with no increases in the 40p and 45p rates next year. But she did not propose raising the income tax rate paid by those earning more than £150,000 from 45% to 50%, as has been proposed by Scottish Labour. Instead, Ms Sturgeon insisted that no taxpayers would see their income tax bill rise if the SNP wins the election on 5 May. Ms Dugdale told the Holyrood chamber that Ms Sturgeon had previously said it was ""right that those with the broadest shoulders pay a little bit more"". Ms Dugdale added: ""This is the first minister who made her name as the anti-austerity champion. She went down to England and said she would stand up to George Osborne's tax cuts. ""Yet the minute she gets the powers back home, the first minister chooses not to act."" Ms Dugdale said the STUC had described the SNP's tax proposals as ""timid"" and ""difficult to fathom"", and that changes made by HMRC had made it harder for the highest earners to avoid paying tax. She asked: ""If the SNP can't summon the courage to propose major progressive change at this moment in time, will they ever?"" And she said hearing the first minister ""arguing that Scotland can't go it alone on tax really takes the biscuit."" Ms Sturgeon said she would ""leave it to Labour to indulge in political gestures"" and would instead ""get on with putting forward the proposals that will see this country governed fairly and progressively"".","Raising the top rate of income tax for Scotland's highest earners would be ""reckless and daft"", the first minister has insisted.",998
36798298,"Media playback is not supported on this device Misbah, 42, has never before played a Test at Lord's, but his unbeaten 110 appeared to have steered his side to a strong position. But two late wickets from Chris Woakes to add to the pair he took before lunch gave England hope after they had lost the toss and toiled in the field. This was Pakistan's first match at Lord's since the spot-fixing scandal of 2010, and it was fitting that Misbah, who has done so much to rehabilitate the team since that crisis, was the hero of their return. He celebrated his landmark by dropping to the turf and pushing out 10 press-ups, his team-mates applauding from the pavilion balcony as the rest of the ground rose to him. While his fine partnership of 148 with Asad Shafiq was ended by the persevering Woakes three overs before the close, nightwatchman Rahat Ali then falling for a duck to the final ball of the day, the tourists will resume on Friday morning well placed on 282-6.'Misbah presses case for rising Pakistan' Media playback is not supported on this device After Woakes had got rid of Pakistan's opening pair, both caught by Jonny Bairstow, Jake Ball's first Test wicket - Azhar Ali trapped lbw by a full in-swinger - had seen Pakistan reduced to 77-3. It brought skipper Misbah together with 39-year-old Younus Khan, giving the partnership a combined age of 81. And as the pair have so many times before, they first held the England attack at bay and then, with infinite patience, began to take control. Misbah's half-century came up off 81 balls, and while progress had been slow after lunch - 36 runs were scored in the first hour - acceleration came as England's attack wearied through the long afternoon. Younus had looked untroubled before clipping an innocuous delivery from Stuart Broad straight to Moeen Ali at midwicket for 33. But Misbah pushed on, his one big scare coming from a misjudged single when Gary Ballance's throw from close in missed the stumps at the striker's end with the batsman metres short of his ground. As he had in the series last winter the captain attacked the spin of Moeen after tea, taking him for 16 runs in five balls with two conventional swept fours and two reverse-sweeps.",A magnificent century from captain Misbah-ul-Haq put Pakistan in a strong position in the first Test before a late England counter-attack on an attritional first day.,1085
40142606,"More than 100 were wounded in the attack, which hit the funeral of one of five people killed when police fired on a march against deteriorating security. The chief executive of Afghanistan, Abdullah Abdullah, survived the attack. The latest violence comes as much of Kabul is in lockdown and amid popular anger at the government. Officials had warned people to stay away from demonstrations, saying they might be attacked by militants. Checkpoints have been set up in central Kabul, and armoured vehicles are patrolling the streets. In a televised address, Mr Abdullah said three suicide bombers were among the mourners attending the funeral of a senator's son who was killed in Friday's protest. He said that an investigation must determine how the attack happened. No group has said it was behind it and the Taliban denied their involvement. President Ashraf Ghani said on Twitter: ""The country is under attack. We must be strong and united."" He later said: ""We must not let ourselves fall into the trap that the enemies have spread to our country."" Rahmatullah Begana, who was at the funeral, said the first explosion went off at the start of the ceremony. ""A few minutes later, there was another explosion. I saw a lot of people on the ground covered with blood,"" he said. Another witness told AFP news agency that ""people were blown to pieces"". Kabul has now had three deadly incidents in four days. Residents are still reeling from the aftermath of the huge suicide attack which killed over 90 people earlier this week. Anger at the government for not doing more to prevent that attack led to protests on Friday. Now the funeral of one of those victims has been targeted, presumably by a militant group. A number of high-profile politicians were present at the funeral today. The fact that even they are not immune to the rising violence shows the scale of the threat in the city. Kabul was once considered the most secure part of Afghanistan. Now it seems the most dangerous. Friday's protest followed a bomb attack on Wednesday which killed 90 people in the city's diplomatic district. Afghan intelligence officials have blamed the Haqqani network, a Taliban affiliate with alleged links to Pakistan. The Taliban denied any role and there has been no comment from so-called Islamic State militants, who are usually quick to claim attacks.","Suicide bombers have killed at least seven people at the funeral in Kabul of a man who died during a protest on Friday, Afghan officials say.",433
36630606,"Among them, suggestions that British banks can expect reduced access to the market for financial services in the remaining 27 EU states. The Bank of France governor, Francois Villeroy de Galhau, said they won't be able to use what's called the banking passport system unless Britain signs up to all the rules of the single market. As those rules include free movement of workers it would be politically challenging for the British government negotiating the post-exit relationship. So what is it that the British banks might lose? Banks and other financial companies can be authorised to do business in one member state of the EU, or the slightly wider European Economic Area (EEA), and then ply their trade across the region without having to be separately authorised in each country. The EEA is a grouping made up of the EU, plus Norway, Iceland and Liechtenstein who have access to the EU's single market. A bank using this system can provide services by offering them from its home base to a customer in another country, or it can establish a branch abroad. It is widely used by financial firms (not just banks) in the EU. It is also used by companies from outside the EEA, such as Switzerland and the US. They establish themselves in one place in the EU, typically in London as the continent's dominant financial centre, and use that as their headquarters for selling services across the single market. If the banking passport is no longer available to British-based firms, then some operations would clearly have to shift to a location inside the EEA. What is impossible to judge is just how much business, and how many jobs, would be affected. Would any shift be narrowly focused on those functions serving EEA customers? Or would firms find it more cost-effective to move other parts of the business as well? There's also a view that lighter regulation of the city would be possible outside the EU and that would stimulate further growth in the financial sector. That could in turn offset any jobs and business that might be lost if the passport option is removed for operations based in the UK. In principle, it is possible that even if the UK ends up outside the EEA, the exit deal might allow for passporting for financial firms. Leave campaigns have argued all along that Britain is such an important market to the rest of the EU, that they would have an incentive to negotiate a deal that's favourable to the UK.",There has been a succession of warnings for the UK from European officials in the aftermath of the referendum.,543
38328489,"Ms Rodriguez had not been invited to the meeting because Venezuela is suspended from the regional trade bloc. She turned up at the Argentine foreign ministry regardless and brushed past security guards only to find the room where it was meant to be held, empty. She accused guards of ""attacking"" her. Meanwhile, other regional leaders held their talks in a smaller room. Venezuelan President Nicolas Maduro said his foreign minister had been ""gravely hurt"". She had been ""thrown to the ground"", he said, and had ""possibly broken a collar bone"". A recording shows her arguing with an official at the gate of the foreign ministry and then brushing past security guards. President Maduro said the incident had happened ""when the media was not present"". Recordings do however show her walking up the stairs of the ministry while a number of people in her entourage shouted ""careful with the foreign minister, she is a lady, let her through, respect a woman's right!"". She kept walking while a number of Argentine officials could be heard telling her: ""You can't enter here!"" She finally entered the room where the meeting of the Mercosur minister was due to be held but the room is empty. Ms Rodriguez tweeted a picture of herself smiling broadly, sitting next to the foreign minister of Bolivia, a country which is a close ally of Venezuela and an associate member of Mercosur. ""We're in the Mercosur meeting waiting for the foreign ministers of Argentina, Brazil, Paraguay and Uruguay,"" she wrote. Critics of Ms Rodriguez pointed out that she did not look visibly hurt in the photograph. As it became clear that the other foreign ministers were not going to show up, Ms Rodriguez tweeted again, this time accusing Argentina, Brazil and Paraguay of colluding against Venezuela. Meanwhile, Brazilian Foreign Minister Jose Serra also took to Twitter, posting a photograph of the meeting between him and Mercosur foreign ministers going on in another, smaller room. Argentine Foreign Minister Susana Malcorra later gave her version of the incident, referring in particular to a remark Ms Rodriguez had made to journalists before trying to crash the meeting. ""I think you can say that it turned into quite a complex situation, something that I would have preferred not to happen, as she [Delcy Rodriguez] said in her own words, that she wanted to enter'be it by the door or the window'.""",Venezuela's Foreign Minister Delcy Rodriguez has tried to gate-crash a Mercosur meeting in Buenos Aires.,500
39124954,"The UK's biggest commercial broadcaster said it continued to rebalance and strengthen the business and blamed ""wider political and economic uncertainty"" for advertising falls. It hailed a 13% increase in revenue from the ITV Studios division. Underlying pre-tax profit was up slightly on the year, from £843m to £847m. Total viewing across its channels rose by 1% last year, with the share for the main ITV channel increasing from 15% to 15.4%. The company said in its results statement that it was proposing a special dividend of 5p a share, causing its share price to open 1.5% higher. Chief executive Adam Crozier said ITV had ""delivered a good performance in 2016"", pointing out that total external revenues were up 3%. ""The continued growth in revenue and adjusted profit, despite a 3% decline in spot advertising revenues resulting from wider political and economic uncertainty, is clear evidence that our strategy is working and remains the right one for ITV,"" he said. Mr Crozier added that ITV - home to shows including Coronation Street, the X Factor and Broadchurch - maintained its ""leading position"" in the UK television advertising market. ""Whilst our net advertising revenues have declined, we again outperformed the UK television ad market as a whole,"" he said. Shares, which have fallen by a fifth in the past 12 months, rose 2% to 206.7p in morning trading. There has been speculation that ITV could be a takeover target by a foreign broadcaster. George Salmon, a Hargreaves Lansdown analyst, said although the slowdown in advertising spending was likely to be a short-term trend given Brexit uncertainty, challenges remained for ITV. ""Longer-term viewing habits are clearly moving towards a more on-demand set up. This brings the group into competition with Amazon and Netflix, two pretty bruising rivals with deep pockets,"" he said. ""While continuing to provide entertaining content is obviously essential, building a slick online platform could be just as important."" Neil Wilson at ETX Capital said he expected the company to continue moving away from a reliance on advertising. ""Non-net advertising revenues now make up 53% of total revenues - a big change over the last few years,"" he said. Mr Wilson added: ""The UK economy's resilience has helped ITV's share price, but there are signs of cracks in the UK economy that are a concern for the broadcaster. ""This makes any meaningful upside dependent on a takeover, as organic growth looks trickier, some very smart production acquisitions notwithstanding.""",ITV has reported a 14% fall in annual pre-tax profits to £553m as advertising revenues declined by 3%.,417
